Season,Team,Lg,Salary,player_id
2008-09,New York Knicks,NBA,"$2,873,520",gallida01
2009-10,New York Knicks,NBA,"$3,089,040",gallida01
2010-11,Denver Nuggets,NBA,"$3,304,560",gallida01
2011-12,Denver Nuggets,NBA,"$4,190,182",gallida01
2012-13,Denver Nuggets,NBA,"$9,439,000",gallida01
2013-14,Denver Nuggets,NBA,"$10,146,925",gallida01
2014-15,Denver Nuggets,NBA,"$10,854,850",gallida01
2015-16,Denver Nuggets,NBA,"$14,000,000",gallida01
2016-17,Denver Nuggets,NBA,"$15,050,000",gallida01
2017-18,Los Angeles Clippers,NBA,"$20,559,599",gallida01
2018-19,Los Angeles Clippers,NBA,"$21,587,579",gallida01
2019-20,Oklahoma City Thunder,NBA,"$22,615,559",gallida01
2020-21,Atlanta Hawks,NBA,"$19,500,000",gallida01
2021-22,Atlanta Hawks,NBA,"$20,475,000",gallida01
Career,(may be incomplete),,"$177,685,814",gallida01
