Season,Team,Lg,Salary,player_id
1985-86,Cleveland Cavaliers,NBA,"$115,000",anderro01
1987-88,Indiana Pacers,NBA,"$200,000",anderro01
1988-89,Philadelphia 76ers,NBA,"$300,000",anderro01
1990-91,Philadelphia 76ers,NBA,"$425,000",anderro01
1991-92,Philadelphia 76ers,NBA,"$1,000,000",anderro01
1992-93,Philadelphia 76ers,NBA,"$950,000",anderro01
1993-94,Philadelphia 76ers,NBA,"$300,000",anderro01
Career,(may be incomplete),,"$3,290,000",anderro01
