Season,Team,Lg,Salary,player_id
2008-09,Portland Trail Blazers,NBA,"$1,084,080",fernaru01
2009-10,Portland Trail Blazers,NBA,"$1,165,320",fernaru01
2010-11,Portland Trail Blazers,NBA,"$1,246,680",fernaru01
2011-12,Denver Nuggets,NBA,"$2,180,443",fernaru01
Career,(may be incomplete),,"$5,676,523",fernaru01
