Season,Team,Lg,Salary,player_id
1987-88,Cleveland Cavaliers,NBA,"$75,000",dudlech02
1988-89,Cleveland Cavaliers,NBA,"$225,000",dudlech02
1990-91,New Jersey Nets,NBA,"$950,000",dudlech02
1991-92,New Jersey Nets,NBA,"$1,000,000",dudlech02
1992-93,New Jersey Nets,NBA,"$1,200,000",dudlech02
1993-94,Portland Trail Blazers,NBA,"$790,000",dudlech02
1994-95,Portland Trail Blazers,NBA,"$3,500,000",dudlech02
1995-96,Portland Trail Blazers,NBA,"$3,800,000",dudlech02
1996-97,Portland Trail Blazers,NBA,"$4,100,000",dudlech02
1997-98,New York Knicks,NBA,"$1,135,000",dudlech02
1999-00,New York Knicks,NBA,"$7,100,000",dudlech02
2000-01,Phoenix Suns,NBA,"$6,200,000",dudlech02
2001-02,New Jersey Nets,NBA,"$6,200,000",dudlech02
2001-02,Portland Trail Blazers,NBA,"$1,000,000",dudlech02
2002-03,Portland Trail Blazers,NBA,"$1,030,000",dudlech02
Career,(may be incomplete),,"$38,305,000",dudlech02
