season,variable,variable_abbrev,factor_1,factor_2,factor_3,variation_1,variation_2,variation_3,total_variation
1984,mean_min_played,MP,0.9280006298340917,-0.130614456831779,0.0016043634478665597,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_field_goals,FG,0.9003840943939754,-0.210857475203863,0.16591835434746977,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_field_goals_3pt,FG3P,0.08658682223447493,-0.8503425710490087,-0.44879986519432,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_free_throws,FT,0.8792999427583896,-0.006920406268079021,0.3233981664405947,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_field_goals_attempts,FGA,0.8800286839703734,-0.2835545612041118,0.17319304929514898,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_field_goals_attempt_3pt,FGA3P,0.08412159465186177,-0.87938809025299,-0.40457570822786243,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_free_throws_attempts,FTA,0.9053795952370337,0.03407749720538915,0.2811170469771223,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_offensive_rebounds,ORB,0.7243594848684362,0.5159256255983555,-0.1822947229971257,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_defensive_rebounds,DRB,0.7300433276619015,0.46206660756771256,-0.3102347883758241,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_steals,STL,0.4625074240982056,-0.5219329403628361,0.04386703939954249,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_blocks,BLK,0.4140917224424213,0.5600072837075585,-0.5333539070703935,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_turnovers,TOV,0.8759787188336107,-0.1954140608781271,0.06383503839954387,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1984,mean_personal_fouls,PF,0.6765194458753088,0.22626543651131928,-0.39333628846478585,0.5170649049476386,0.21497145581432633,0.09083841097655691,0.8228747717385217
1985,mean_min_played,MP,0.9187195827998972,-0.1462358158156651,0.0355552440643558,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_field_goals,FG,0.9019169345640323,-0.21767368802295764,0.15504931517179624,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_field_goals_3pt,FG3P,0.15457989016987722,-0.8441498434504399,-0.47576307353023944,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_free_throws,FT,0.8954334527689733,-0.04494090023934066,0.24194202380840044,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_field_goals_attempts,FGA,0.8854946842336429,-0.2811241588376187,0.15042720522404704,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_field_goals_attempt_3pt,FGA3P,0.1718453229867235,-0.8787852693485828,-0.415794459998216,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_free_throws_attempts,FTA,0.9091402273096915,0.00951571499800282,0.21386801838563282,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_offensive_rebounds,ORB,0.7117465541961318,0.5528255585052542,-0.15666754758435045,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_defensive_rebounds,DRB,0.7249097533827163,0.5076534273920933,-0.2691153410698205,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_steals,STL,0.5172820809454054,-0.4697607448572627,0.15143619960749471,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_blocks,BLK,0.4663640349410359,0.5796385036713394,-0.4508037562702519,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_turnovers,TOV,0.8756281728401465,-0.11899477890341131,0.10761839794413443,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1985,mean_personal_fouls,PF,0.6607299182059966,0.31495209808621055,-0.34436310848744167,0.5264465874926373,0.2206229935735859,0.07728740180057161,0.8243569828667947
1986,mean_min_played,MP,-0.8739699366532155,0.06735621933737838,0.14870345452458297,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
1986,mean_field_goals,FG,-0.95396359834293,-0.1356276717186029,0.04187106224530411,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
1986,mean_field_goals_3pt,FG3P,-0.4054133560588858,-0.6551783714570214,-0.6032331917599969,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
1986,mean_free_throws,FT,-0.9037129902046318,-0.07943616283762842,0.19374596938803348,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
1986,mean_field_goals_attempts,FGA,-0.9277844577603257,-0.18746404296192562,0.0436040304439313,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
1986,mean_field_goals_attempt_3pt,FGA3P,-0.4283689120449614,-0.7305280645240299,-0.48528825231139444,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
1986,mean_free_throws_attempts,FTA,-0.8947471945137291,0.007585997335308903,0.24535862156396757,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
1986,mean_offensive_rebounds,ORB,-0.5815950478062207,0.6492044035595946,-0.22848041359903057,0.5063988271510699,0.22469144183594977,0.0875559356790685,0.8186462046660882
