Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
69,69,1975-03-16,24-279,NYK,@,SEA,L (-3),1,39:00,3,9,.333,2,2,1.000,,,10,1,,,2,8,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
70,70,1975-03-18,24-281,NYK,@,LAL,W (+9),1,37:00,10,15,.667,3,6,.500,3,7,10,6,0,1,2,23,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
71,71,1975-03-19,24-282,NYK,@,PHO,W (+5),1,39:00,5,7,.714,2,5,.400,1,5,6,0,0,0,3,12,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
72,72,1975-03-22,24-285,NYK,,BOS,L (-9),,45:00,7,9,.778,3,3,1.000,,,10,0,,,3,17,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
73,73,1975-03-23,24-286,NYK,@,BOS,L (-10),,37:00,3,10,.300,5,5,1.000,,,11,0,,,2,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
74,74,1975-03-26,24-289,NYK,@,PHI,W (+30),,40:00,8,16,.500,2,3,.667,,,11,1,,,3,18,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
75,75,1975-03-28,24-291,NYK,@,NOJ,L (-9),,41:00,6,12,.500,1,2,.500,,,11,1,,,3,13,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
76,76,1975-03-30,24-293,NYK,,MIL,W (+12),1,43:00,9,16,.563,3,3,1.000,,,10,3,0,1,2,21,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
77,77,1975-04-01,24-295,NYK,,PHI,W (+4),,46:00,8,15,.533,0,0,,,,9,3,,,2,16,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
78,78,1975-04-03,24-297,NYK,@,CLE,L (-5),1,47:00,7,14,.500,2,3,.667,0,9,9,5,0,0,3,16,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
79,79,1975-04-04,24-298,NYK,@,MIL,L (-8),1,45:00,10,15,.667,0,0,,,,10,2,1,1,4,20,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
80,80,1975-04-06,24-300,NYK,,BUF,W (+12),1,46:00,8,18,.444,0,1,.000,,,11,0,,,3,16,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
