Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
11,11,1969-11-09,24-103,KEN,@,NYA,W (+12),,,1,5,.200,0,0,,2,3,.667,,,7,,,4,4,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
12,12,1969-11-10,24-104,KEN,@,INA,W (+10),,8:00,4,6,.667,0,0,,0,0,,,,4,1,,3,8,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
13,13,1969-11-13,24-107,KEN,,DNR,W (+5),,,8,24,.333,0,0,,1,3,.333,,,10,,,6,17,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
14,14,1969-11-15,24-109,KEN,,INA,L (-4),,39:00,8,21,.381,0,0,,3,3,1.000,,,15,2,,4,19,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
15,15,1969-11-17,24-111,KEN,,WSA,W (+17),,,9,,,0,,,0,1,.000,,,,,,,18,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
16,16,1969-11-21,24-115,KEN,@,PTP,L (-4),,,8,17,.471,0,0,,9,13,.692,,,12,,,5,25,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
17,17,1969-11-23,24-117,KEN,,LAS,W (+6),,,3,11,.273,0,0,,0,0,,,,8,,,6,6,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
18,18,1969-11-28,24-122,KEN,,MMF,W (+5),,,8,14,.571,0,0,,4,4,1.000,,,17,,,5,20,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
19,19,1969-11-29,24-123,KEN,@,WSA,L (-28),,,6,20,.300,0,0,,1,1,1.000,,,8,,,6,13,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
20,20,1969-11-30,24-124,KEN,,CAR,W (+5),1,,0,2,.000,0,0,,4,6,.667,,,8,2,,6,4,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
21,21,1969-12-03,24-127,KEN,,DLC,W (+14),,,12,22,.545,0,0,,0,0,,,,18,,,3,24,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
22,22,1969-12-04,24-128,KEN,,MMF,W (+25),,,7,14,.500,0,0,,2,4,.500,,,9,,,5,16,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
23,23,1969-12-07,24-131,KEN,,PTP,L (-2),,,8,23,.348,0,1,.000,3,6,.500,,,12,,,4,19,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
24,24,1969-12-11,24-135,KEN,,INA,L (-19),,29:00,5,17,.294,0,0,,1,1,1.000,,,8,1,,6,11,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
25,25,1969-12-13,24-137,KEN,,NYA,L (-5),,,12,22,.545,0,0,,3,11,.273,,,23,,,3,27,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
26,26,1969-12-16,24-140,KEN,,LAS,L (-1),1,22:00,8,11,.727,0,0,,3,3,1.000,,,9,,,6,19,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
27,27,1969-12-17,24-141,KEN,,WSA,W (+7),,,8,,,0,,,1,1,1.000,,,,,,,17,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
28,28,1969-12-18,24-142,KEN,,NOB,W (+7),,,4,12,.333,0,0,,2,3,.667,,,11,,,5,10,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
