Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1973-10-13,24-293,POR,,CAP,W (+45),0,16:00,5,8,.625,,,,0,0,,1,0,1,3,0,0,,4,10,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
2,2,1973-10-19,24-299,POR,,KCO,W (+12),0,19:00,2,3,.667,,,,2,2,1.000,0,2,2,4,1,0,,2,6,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
3,3,1973-10-20,24-300,POR,,SEA,W (+15),0,9:00,3,5,.600,,,,0,0,,0,0,0,1,0,0,,2,6,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
4,4,1973-10-23,24-303,POR,@,CLE,L (-7),0,21:00,6,12,.500,,,,0,3,.000,2,0,2,2,1,0,,3,12,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
5,5,1973-10-24,24-304,POR,@,PHI,L (-22),0,12:00,2,2,1.000,,,,2,4,.500,0,1,1,0,0,0,,2,6,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
6,6,1973-10-26,24-306,POR,,ATL,W (+17),0,14:00,1,5,.200,,,,0,0,,0,1,1,1,0,0,,1,2,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
7,7,1973-10-27,24-307,POR,,DET,L (-13),0,5:00,0,1,.000,,,,1,2,.500,0,1,1,0,0,1,,0,1,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
8,8,1973-10-28,24-308,POR,@,LAL,L (-13),0,27:00,8,13,.615,,,,3,5,.600,2,1,3,4,0,0,,5,19,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
9,9,1973-10-30,24-310,POR,,LAL,W (+2),0,11:00,0,2,.000,,,,0,0,,0,3,3,4,0,0,,3,0,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
10,10,1973-11-10,24-321,POR,,CHI,L (-2),0,13:00,2,3,.667,,,,0,0,,0,1,1,1,0,0,,2,4,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
11,11,1973-11-13,24-324,POR,@,MIL,L (-8),0,18:00,7,11,.636,,,,1,3,.333,0,3,3,1,2,0,,2,15,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
12,12,1973-11-14,24-325,POR,@,DET,W (+3),0,18:00,0,3,.000,,,,2,2,1.000,1,3,4,3,1,0,,3,2,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
13,13,1973-11-15,24-326,POR,@,ATL,L (-9),0,14:00,0,1,.000,,,,0,0,,0,0,0,2,0,0,,0,0,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
14,14,1973-11-17,24-328,POR,@,HOU,W (+9),0,5:00,0,0,,,,,0,0,,0,1,1,0,0,0,,0,0,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
15,15,1973-11-20,24-331,POR,@,CHI,L (-5),0,19:00,0,0,,,,,2,2,1.000,0,1,1,0,0,0,,1,2,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
16,16,1973-11-22,24-333,POR,,SEA,W (+6),0,14:00,1,1,1.000,,,,0,0,,0,0,0,4,0,0,,1,2,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
17,17,1973-11-23,24-334,POR,@,SEA,L (-21),0,25:00,7,13,.538,,,,0,0,,0,0,0,5,0,0,,3,14,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
18,18,1973-11-24,24-335,POR,,LAL,L (-5),0,9:00,0,1,.000,,,,0,0,,0,0,0,1,0,0,,1,0,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
19,19,1973-11-25,24-336,POR,@,LAL,L (-28),0,12:00,0,6,.000,,,,0,0,,0,0,0,2,0,0,,4,0,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
20,20,1973-11-29,24-340,POR,@,GSW,L (-30),0,25:00,7,10,.700,,,,1,3,.333,0,4,4,4,1,0,,1,15,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
21,21,1973-11-30,24-341,POR,,PHO,L (-8),0,8:00,1,5,.200,,,,0,0,,1,1,2,4,0,0,,1,2,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
22,22,1973-12-01,24-342,POR,,LAL,W (+19),0,23:00,3,7,.429,,,,0,0,,0,3,3,5,3,0,,4,6,1974,laytomo01,https://www.basketball-reference.com/players/l/laytomo01/gamelog/1974
