Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1975-02-05,25-042,NOJ,,HOU,L (-27),0,,1,1,1.000,,,,0,0,,,,1,0,,0,,0,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
2,2,1975-02-07,25-044,NOJ,@,MIL,L (-21),0,19:00,3,4,.750,,,,0,1,.000,,,1,2,1,0,,3,6,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
3,3,1975-02-08,25-045,NOJ,@,ATL,W (+4),0,,0,1,.000,,,,0,0,,0,0,0,1,,0,,3,0,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
4,4,1975-02-10,25-047,NOJ,,ATL,W (+7),0,,0,4,.000,,,,0,0,,,,3,1,,0,,5,0,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
5,5,1975-02-11,25-048,NOJ,@,CLE,L (-14),0,19:00,1,3,.333,,,,3,4,.750,1,2,3,1,1,0,,4,5,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
6,6,1975-02-14,25-051,NOJ,@,HOU,W (+12),0,,4,4,1.000,,,,6,8,.750,,,3,0,,0,,2,14,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
7,7,1975-02-16,25-053,NOJ,,MIL,W (+2),0,14:00,0,2,.000,,,,2,2,1.000,,,1,2,0,0,,1,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
8,8,1975-02-18,25-055,NOJ,,PHI,W (+18),0,19:00,1,2,.500,,,,0,0,,,,1,3,,0,,2,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
9,9,1975-02-20,25-057,NOJ,,POR,W (+12),0,15:00,2,4,.500,,,,0,0,,0,2,2,3,3,0,,1,4,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
10,10,1975-02-21,25-058,NOJ,,PHO,W (+2),0,15:00,2,5,.400,,,,2,2,1.000,1,2,3,3,1,0,,1,6,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
11,11,1975-02-23,25-060,NOJ,,HOU,W (+9),0,,0,2,.000,,,,2,2,1.000,0,0,0,1,0,0,,2,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
12,12,1975-02-25,25-062,NOJ,,CHI,L (-15),0,15:00,2,3,.667,,,,1,2,.500,0,1,1,4,0,0,,1,5,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
13,13,1975-02-27,25-064,NOJ,@,BUF,L (-10),0,9:00,2,5,.400,,,,0,0,,,,0,1,,,,2,4,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
14,14,1975-02-28,25-065,NOJ,,KCO,W (+7),0,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
15,15,1975-03-01,25-066,NOJ,@,HOU,L (-12),0,,0,2,.000,,,,0,0,,,,1,3,,0,,1,0,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
16,16,1975-03-08,25-073,NOJ,@,ATL,L (-12),0,,1,4,.250,,,,2,2,1.000,,,1,0,,0,,2,4,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
17,17,1975-03-09,25-074,NOJ,,CLE,W (+4),0,8:00,1,1,1.000,,,,0,0,,0,1,1,0,0,0,,0,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
18,18,1975-03-11,25-076,NOJ,@,CLE,L (-9),0,11:00,1,2,.500,,,,2,2,1.000,0,1,1,3,2,0,,2,4,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
19,19,1975-03-15,25-080,NOJ,,ATL,W (+17),0,18:00,2,3,.667,,,,3,4,.750,,,4,2,,0,,3,7,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
20,20,1975-03-16,25-081,NOJ,,CLE,L (-2),0,14:00,1,3,.333,,,,0,0,,0,1,1,4,1,0,,3,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
21,21,1975-03-19,25-084,NOJ,@,PHI,W (+11),0,11:00,1,3,.333,,,,0,0,,0,0,0,0,,0,,1,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
22,22,1975-03-20,25-085,NOJ,@,KCO,L (-6),0,,1,1,1.000,,,,2,2,1.000,,,1,1,,0,,0,4,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
23,23,1975-03-21,25-086,NOJ,,WSB,L (-13),0,10:00,1,4,.250,,,,0,0,,,,1,1,,0,,3,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
24,24,1975-03-23,25-088,NOJ,,DET,L (-11),0,,3,5,.600,,,,3,3,1.000,,,1,1,,0,,2,9,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
25,25,1975-03-25,25-090,NOJ,,KCO,W (+2),0,,1,1,1.000,,,,0,0,,0,0,0,0,0,0,,1,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
26,26,1975-03-26,25-091,NOJ,@,BOS,L (-13),0,12:00,3,8,.375,,,,2,3,.667,,,1,4,,0,,1,8,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
27,27,1975-03-29,25-094,NOJ,@,HOU,L (-2),0,,7,11,.636,,,,3,4,.750,,,5,7,2,0,,2,17,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
28,28,1975-03-30,25-095,NOJ,,ATL,W (+3),0,,3,6,.500,,,,0,0,,,,4,1,,0,,1,6,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
29,29,1975-04-01,25-097,NOJ,,WSB,L (-9),0,13:00,1,3,.333,,,,0,0,,,,1,1,,0,,2,2,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
30,30,1975-04-04,25-100,NOJ,@,CHI,L (-24),0,5:00,0,1,.000,,,,0,0,,0,0,0,0,1,0,,1,0,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
31,31,1975-04-06,25-102,NOJ,@,WSB,L (-16),0,24:00,2,8,.250,,,,0,2,.000,,,3,2,,0,,2,4,1975,fryerbe01,https://www.basketball-reference.com/players/f/fryerbe01/gamelog/1975
