Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1972-10-13,33-305,PHO,,MIL,L (-12),1,31:00,2,12,.167,,,,2,2,1.000,,,10,3,,,,3,6,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
2,2,1972-10-14,33-306,PHO,@,POR,W (+4),1,15:00,2,8,.250,,,,2,2,1.000,,,8,0,,,,3,6,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
3,3,1972-10-15,33-307,PHO,,BAL,W (+9),1,11:00,0,4,.000,,,,1,2,.500,,,6,0,,,,2,1,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
4,4,1972-10-21,33-313,PHO,,SEA,W (+12),1,16:00,5,9,.556,,,,6,9,.667,,,9,1,,,,4,16,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
5,5,1972-10-24,33-316,PHO,,CHI,L (-1),1,30:00,4,8,.500,,,,3,4,.750,,,7,0,,,,5,11,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
6,6,1972-10-27,33-319,PHO,@,SEA,L (-5),1,32:00,8,17,.471,,,,2,4,.500,,,8,4,,,,5,18,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
7,7,1972-10-29,33-321,PHO,@,LAL,L (-10),0,17:00,2,12,.167,,,,0,0,,,,7,2,,,,0,4,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
8,8,1972-11-03,33-326,PHO,@,CHI,L (-15),1,26:00,8,13,.615,,,,0,0,,,,12,1,,,,3,16,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
9,9,1972-11-04,33-327,PHO,@,MIL,W (+1),1,37:00,6,16,.375,,,,2,2,1.000,,,15,2,,,,2,14,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
10,10,1972-11-05,33-328,PHO,@,CLE,W (+1),1,27:00,2,8,.250,,,,2,4,.500,,,9,1,,,,2,6,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
11,11,1972-11-08,33-331,PHO,,CLE,W (+8),1,33:00,5,9,.556,,,,0,0,,,,9,9,,,,5,10,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
12,12,1972-11-10,33-333,PHO,,HOU,W (+6),1,8:00,2,4,.500,,,,2,2,1.000,,,2,1,,,,1,6,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
13,13,1972-11-12,33-335,PHO,,PHI,W (+11),1,11:00,1,8,.125,,,,0,0,,,,6,0,,,,0,2,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
14,14,1972-11-14,33-337,PHO,@,NYK,L (-6),1,24:00,5,12,.417,,,,1,1,1.000,,,7,0,,,,3,11,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
15,15,1972-11-15,33-338,PHO,@,BOS,L (-19),0,24:00,5,13,.385,,,,1,2,.500,,,8,1,,,,4,11,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
16,16,1972-11-17,33-340,PHO,@,BAL,L (-11),0,20:00,3,8,.375,,,,0,0,,,,6,2,,,,4,6,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
17,17,1972-11-21,33-344,PHO,@,KCO,L (-5),1,4:00,0,2,.000,,,,0,0,,,,2,0,,,,0,0,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
18,18,1972-11-23,33-346,PHO,,DET,W (+6),0,16:00,5,8,.625,,,,0,0,,,,1,1,,,,2,10,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
19,19,1972-11-25,33-348,PHO,,LAL,L (-7),0,12:00,2,5,.400,,,,1,2,.500,,,1,2,,,,2,5,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
20,20,1972-11-26,33-349,PHO,@,LAL,L (-5),0,20:00,2,5,.400,,,,0,0,,,,3,1,,,,3,4,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
21,21,1972-11-28,33-351,PHO,@,GSW,L (-8),0,3:00,0,0,,,,,0,0,,,,0,0,,,,2,0,1973,johnsgu01,https://www.basketball-reference.com/players/j/johnsgu01/gamelog/1973
