Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
1,1,1968-10-19,23-082,KEN,,OAK,L (-21),,,6,12,.500,0,,,0,1,.000,,,9,,,1,12,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
2,2,1968-10-23,23-086,KEN,@,INA,W (+4),,,5,9,.556,0,,,2,4,.500,,,7,0,,5,12,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
3,3,1968-10-25,23-088,KEN,@,NYA,W (+7),,,5,14,.357,0,,,5,8,.625,,,12,,,1,15,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
4,4,1968-10-26,23-089,KEN,,INA,W (+3),1,,2,13,.154,0,,,0,0,,,,12,3,,2,4,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
5,5,1968-10-30,23-093,KEN,,DNR,W (+23),,,1,2,.500,0,0,,0,0,,,,3,,,4,2,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
6,6,1968-11-02,23-096,KEN,,MMF,L (-7),,,4,11,.364,0,0,,0,0,,,,9,,,4,8,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
7,7,1968-11-03,23-097,KEN,@,NYA,L (-9),,,5,8,.625,0,0,,3,3,1.000,,,10,,,2,13,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
8,8,1968-11-13,23-107,KEN,,LAS,W (+7),,,0,0,,0,0,,0,0,,,,2,,,0,0,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
9,9,1968-11-16,23-110,KEN,,MNP,L (-10),,,8,13,.615,0,0,,0,1,.000,,,11,,,4,16,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
10,10,1968-11-18,23-112,KEN,@,MMF,W (+1),,,3,6,.500,0,0,,3,3,1.000,,,6,,,3,9,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
11,11,1968-11-19,23-113,KEN,@,NOB,L (-6),,,2,9,.222,0,0,,4,7,.571,,,15,,,3,8,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
12,12,1968-11-20,23-114,KEN,,DNR,W (+8),,,2,4,.500,0,0,,0,1,.000,,,6,,,0,4,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
13,13,1968-11-24,23-118,KEN,@,NYA,L (-7),,,3,,,0,,,2,3,.667,,,,,,,8,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
14,14,1968-11-26,23-120,KEN,@,MNP,L (-11),,,2,3,.667,0,0,,0,0,,,,4,,,2,4,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
15,15,1968-11-27,23-121,KEN,,LAS,L (-4),,,0,,,0,,,2,3,.667,,,,,,,2,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
16,16,1968-11-29,23-123,KEN,,OAK,L (-24),0,15:00,2,4,.500,0,0,,1,1,1.000,,,4,0,,4,5,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
17,17,1968-12-04,23-128,KEN,,INA,W (+2),0,,2,4,.500,0,0,,0,0,,,,6,0,,3,4,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
18,18,1968-12-06,23-130,KEN,,NOB,W (+5),,,1,1,1.000,0,0,,0,0,,,,1,,,0,2,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
19,19,1968-12-11,23-135,KEN,,HSM,W (+7),,,0,2,.000,0,0,,2,2,1.000,,,2,,,1,2,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
20,20,1968-12-13,23-137,KEN,,INA,L (-8),0,,4,6,.667,0,0,,3,4,.750,,,10,2,,3,11,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
21,21,1968-12-15,23-139,KEN,,MMF,W (+21),,,4,7,.571,0,0,,2,2,1.000,,,13,,,4,10,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
22,22,1968-12-17,23-141,KEN,@,OAK,L (-7),0,18:00,5,10,.500,0,0,,4,5,.800,,,5,0,,4,14,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
23,23,1968-12-18,23-142,KEN,@,LAS,W (+8),,,2,5,.400,0,0,,1,1,1.000,,,3,,,4,5,,1969,https://www.basketball-reference.com/players/m/moorege01/gamelog/1969/aba/
