Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1975-11-13,33-240,GSW,,CHI,W (+11),0,12:00,0,5,.000,2,2,1.000,2,0,2,2,1,0,0,2,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
2,2,1975-11-15,33-242,GSW,,KCK,W (+31),0,14:00,2,6,.333,0,0,,0,2,2,0,1,0,2,4,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
3,3,1975-11-18,33-245,GSW,@,NOJ,W (+8),0,3:00,0,0,,0,0,,0,0,0,0,0,0,1,0,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
4,4,1975-11-22,33-249,GSW,@,WSB,W (+40),0,14:00,1,4,.250,2,4,.500,0,0,0,1,0,0,3,4,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
5,5,1975-12-02,33-259,GSW,@,PHO,L (-17),0,14:00,1,3,.333,2,3,.667,0,0,0,1,1,0,0,4,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
6,6,1975-12-11,33-268,GSW,,POR,W (+12),0,4:00,0,3,.000,0,0,,0,1,1,0,0,0,0,0,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
7,7,1975-12-17,33-274,GSW,@,DET,W (+11),0,10:00,0,0,,0,0,,0,2,2,3,0,0,0,0,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
8,8,1975-12-20,33-277,GSW,,MIL,W (+37),0,10:00,1,2,.500,1,1,1.000,0,1,1,3,2,0,0,3,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
9,9,1975-12-21,33-278,GSW,@,POR,W (+6),0,5:00,0,0,,0,0,,0,0,0,0,0,0,0,0,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
10,10,1975-12-27,33-284,GSW,,HOU,L (-3),0,6:00,0,0,,0,0,,0,0,0,0,,,2,0,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
11,11,1975-12-30,33-287,GSW,,BOS,W (+32),0,9:00,0,3,.000,0,0,,0,0,0,1,0,0,0,0,1976,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1976
