Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1972-10-13,28-215,DET,,CHI,W (+9),0,13:00,0,3,.000,,,,1,3,.333,,,3,3,,,,3,1,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
2,2,1972-10-20,28-222,DET,@,MIL,L (-23),0,14:00,1,6,.167,,,,0,0,,,,2,0,,,,2,2,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
3,3,1972-10-21,28-223,DET,,CLE,W (+7),0,4:00,0,1,.000,,,,0,0,,,,0,0,,,,0,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
4,4,1972-10-27,28-229,DET,@,HOU,L (-12),,,1,2,.500,,,,0,0,,,,0,,,,,0,2,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
5,5,1972-11-01,28-234,DET,@,SEA,W (+10),,1:00,1,1,1.000,,,,2,2,1.000,,,1,0,,,,0,4,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
6,6,1972-11-03,28-236,DET,@,LAL,L (-9),,1:00,0,0,,,,,0,0,,,,0,0,,,,0,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
7,7,1972-11-04,28-237,DET,,HOU,L (-10),,,0,2,.000,,,,0,0,,,,1,,,,,0,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
8,8,1972-11-15,28-248,DET,,LAL,L (-11),,2:00,0,0,,,,,0,0,,,,0,0,,,,,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
9,9,1972-11-24,28-257,DET,@,LAL,L (-17),,8:00,1,2,.500,,,,0,0,,,,1,1,,,,2,2,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
10,10,1972-11-30,28-263,DET,,BUF,W (+11),,1:00,0,0,,,,,0,0,,,,0,0,,,,0,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
11,11,1972-12-05,28-268,DET,@,CHI,L (-22),0,3:00,3,4,.750,,,,0,0,,,,0,0,,,,0,6,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
12,12,1972-12-09,28-272,DET,@,MIL,W (+4),,,1,1,1.000,,,,0,0,,,,0,0,,,,,2,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
13,13,1972-12-20,28-283,DET,,PHI,W (+28),,,1,,,,,,0,0,,,,,,,,,,2,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
14,14,1972-12-22,28-285,DET,,SEA,W (+12),,2:00,1,3,.333,,,,0,0,,,,0,0,,,,1,2,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
15,15,1972-12-28,28-291,DET,@,MIL,L (-24),,,0,2,.000,,,,0,0,,,,,,,,,,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
16,16,1973-01-15,28-309,DET,,POR,W (+11),0,2:00,0,2,.000,,,,0,0,,,,0,0,,,,0,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
17,17,1973-01-20,28-314,DET,,CHI,W (+20),0,3:00,0,0,,,,,2,2,1.000,,,1,0,,,,1,2,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
18,18,1973-01-26,28-320,DET,,MIL,L (-12),,1:00,0,0,,,,,0,0,,,,0,2,,,,1,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
19,19,1973-02-02,28-327,DET,,PHI,W (+10),,2:00,0,0,,,,,0,0,,,,1,0,,,,0,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
20,20,1973-02-16,28-341,DET,@,PHI,L (-13),,2:00,0,1,.000,,,,0,0,,,,0,0,,,,0,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
21,21,1973-02-18,28-343,DET,,KCO,W (+44),,5:00,0,0,,,,,0,0,,,,3,0,,,,2,0,1973,mueller01,https://www.basketball-reference.com/players/m/mueller01/gamelog/1973
