Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1974-02-20,26-314,PHI,@,HOU,L (-17),0,12:00,2,4.0,0.5,,,,0,0,,1.0,2.0,3,5,0.0,0.0,,1.0,4,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
2,2,1974-02-23,26-317,PHI,@,GSW,L (-19),0,9:00,1,3.0,0.333,,,,2,3,0.667,0.0,0.0,0,2,0.0,,,1.0,4,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
3,3,1974-02-24,26-318,PHI,@,SEA,L (-10),0,14:00,0,4.0,0.0,,,,0,0,,0.0,0.0,0,3,1.0,0.0,,1.0,0,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
4,4,1974-03-01,26-323,PHI,,CLE,L (-17),0,18:00,1,7.0,0.143,,,,0,0,,3.0,2.0,5,0,0.0,0.0,,4.0,2,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
5,5,1974-03-02,26-324,PHI,,BUF,L (-4),0,12:00,1,4.0,0.25,,,,3,5,0.6,0.0,1.0,1,2,0.0,0.0,,3.0,5,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
6,6,1974-03-06,26-328,PHI,,CAP,W (+13),0,21:00,4,10.0,0.4,,,,0,0,,,,1,8,,,,4.0,8,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
7,7,1974-03-08,26-330,PHI,,GSW,L (-10),0,29:00,5,11.0,0.455,,,,1,1,1.0,2.0,0.0,2,4,0.0,,,4.0,11,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
8,8,1974-03-10,26-332,PHI,,NYK,W (+1),0,19:00,1,3.0,0.333,,,,2,2,1.0,0.0,0.0,0,2,,,,3.0,4,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
9,9,1974-03-12,26-334,PHI,@,CAP,L (-11),0,23:00,6,14.0,0.429,,,,0,2,0.0,,,2,2,,,,1.0,12,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
10,10,1974-03-13,26-335,PHI,,LAL,L (-21),0,25:00,2,15.0,0.133,,,,0,0,,3.0,2.0,5,3,0.0,1.0,,5.0,4,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
11,11,1974-03-15,26-337,PHI,,PHO,W (+7),0,20:00,4,5.0,0.8,,,,2,4,0.5,0.0,2.0,2,2,0.0,1.0,,2.0,10,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
12,12,1974-03-16,26-338,PHI,,BOS,L (-19),0,9:00,0,3.0,0.0,,,,0,0,,0.0,0.0,0,5,,,,2.0,0,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
13,13,1974-03-17,26-339,PHI,@,CLE,L (-16),0,9:00,2,3.0,0.667,,,,2,2,1.0,0.0,2.0,2,2,0.0,0.0,,1.0,6,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
14,14,1974-03-19,26-341,PHI,@,CHI,L (-9),0,24:00,5,9.0,0.556,,,,0,0,,2.0,0.0,2,2,2.0,0.0,,4.0,10,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
15,15,1974-03-20,26-342,PHI,,POR,L (-7),0,20:00,8,10.0,0.8,,,,1,2,0.5,1.0,0.0,1,2,2.0,3.0,,2.0,17,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
16,16,1974-03-22,26-344,PHI,,ATL,L (-1),0,12:00,0,4.0,0.0,,,,0,0,,1.0,1.0,2,1,0.0,0.0,,4.0,0,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
17,17,1974-03-23,26-345,PHI,@,DET,W (+8),0,23:00,2,,,,,,0,0,,1.0,3.0,4,3,1.0,0.0,,,4,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
18,18,1974-03-26,26-348,PHI,@,NYK,L (-27),0,18:00,1,4.0,0.25,,,,2,2,1.0,,,2,4,,,,4.0,4,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
19,19,1974-03-27,26-349,PHI,,BOS,W (+9),0,18:00,4,8.0,0.5,,,,4,5,0.8,,,2,0,,,,1.0,12,1974,cannola01,https://www.basketball-reference.com/players/c/cannola01/gamelog/1974
