Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1972-02-20,23-324,SEA,,POR,W (+4),0.0,2:00,0,1,0.0,,,,0,0,,,,1,0,,,0,0,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
2,2,1972-02-22,23-326,SEA,@,GSW,L (-16),0.0,2:00,1,1,1.0,,,,1,1,1.0,,,1,1,,,0,3,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
3,3,1972-02-23,23-327,SEA,,DET,W (+1),,6:00,0,2,0.0,,,,0,0,,,,1,0,,,0,0,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
4,4,1972-03-04,23-337,SEA,@,GSW,L (-18),0.0,7:00,1,3,0.333,,,,0,0,,,,3,0,,,1,2,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
5,5,1972-03-05,23-338,SEA,,ATL,W (+2),,20:00,5,8,0.625,,,,1,2,0.5,,,6,2,,,3,11,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
6,6,1972-03-07,23-340,SEA,,BAL,L (-7),,32:00,5,13,0.385,,,,0,0,,,,13,1,,,4,10,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
7,7,1972-03-09,23-342,SEA,,PHI,L (-5),,14:00,4,9,0.444,,,,3,3,1.0,,,5,0,,,2,11,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
8,8,1972-03-12,23-345,SEA,,MIL,L (-10),,6:00,2,4,0.5,,,,0,0,,,,0,0,,,0,4,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
9,9,1972-03-17,23-350,SEA,@,BAL,L (-5),,39:00,10,18,0.556,,,,0,0,,,,14,3,,,5,20,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
10,10,1972-03-19,23-352,SEA,@,PHI,L (-15),,29:00,8,18,0.444,,,,0,2,0.0,,,15,1,,,4,16,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
11,11,1972-03-25,23-358,SEA,@,PHO,L (-19),1.0,42:00,9,26,0.346,,,,2,6,0.333,,,11,0,,,4,20,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
12,12,1972-03-26,23-359,SEA,@,LAL,L (-26),1.0,36:00,6,20,0.3,,,,4,4,1.0,,,12,1,,,3,16,1972,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1972
