Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
1,1,1969-10-18,24-338,DET,@,MIL,L (-9),,3:00,0,0,,,,,0,0,,,,0,0,,0,0,1970,workmto01,https://www.basketball-reference.com/players/w/workmto01/gamelog/1970
2,2,1969-10-25,24-345,DET,@,ATL,W (+21),,3:00,0,1,0.0,,,,0,0,,,,0,0,,1,0,1970,workmto01,https://www.basketball-reference.com/players/w/workmto01/gamelog/1970
