Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1971-10-15,23-329,BAL,@,CHI,L (-24),0,7:00,0,4,.000,,,,3,4,.750,,,0,0,,,3,3,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
2,2,1971-10-16,23-330,BAL,,GSW,W (+15),0,5:00,1,4,.250,,,,0,0,,,,2,0,,,1,2,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
3,3,1971-10-19,23-333,BAL,@,BOS,L (-20),,34:00,4,17,.235,,,,2,3,.667,,,5,2,,,2,10,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
4,4,1971-10-22,23-336,BAL,,NYK,L (-23),,34:00,8,18,.444,,,,1,1,1.000,,,4,1,,,4,17,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
5,5,1971-10-23,23-337,BAL,,CLE,L (-8),1,38:00,5,11,.455,,,,0,0,,,,5,1,,,5,10,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
6,6,1971-10-26,23-340,BAL,@,MIL,L (-30),,23:00,2,11,.182,,,,0,0,,,,3,3,,,2,4,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
7,7,1971-10-27,23-341,BAL,,DET,W (+30),,16:00,3,4,.750,,,,2,3,.667,,,4,0,,,1,8,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
8,8,1971-10-29,23-343,BAL,@,DET,L (-14),,22:00,8,17,.471,,,,1,2,.500,,,3,3,,,2,17,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
9,9,1971-10-30,23-344,BAL,,PHO,W (+7),0,12:00,1,6,.167,,,,0,1,.000,,,1,2,,,2,2,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
10,10,1971-11-02,23-347,BAL,@,GSW,L (-15),0,26:00,4,14,.286,,,,1,2,.500,,,5,4,,,2,9,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
11,11,1971-11-05,23-350,BAL,@,LAL,L (-4),0,26:00,3,12,.250,,,,2,2,1.000,,,7,2,,,3,8,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
12,12,1971-11-07,23-352,BAL,@,HOU,W (+3),,7:00,1,3,.333,,,,0,0,,,,0,0,,,1,2,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
13,13,1971-11-10,23-355,BAL,,CHI,L (-19),0,13:00,2,4,.500,,,,0,1,.000,,,1,1,,,1,4,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
14,14,1971-11-13,23-358,BAL,,PHI,W (+6),,21:00,5,11,.455,,,,1,3,.333,,,2,1,,,4,11,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
15,15,1971-11-16,23-361,BAL,,HOU,W (+3),,14:00,3,5,.600,,,,0,0,,,,0,2,,,1,6,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
16,16,1971-11-17,23-362,BAL,@,CIN,W (+10),,20:00,5,7,.714,,,,2,3,.667,,,2,2,,,3,12,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
17,17,1971-11-19,23-364,BAL,,BUF,W (+21),,,4,,,,,,1,1,1.000,,,,,,,,9,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
18,18,1971-11-20,24-000,BAL,@,NYK,L (-11),,18:00,7,11,.636,,,,0,0,,,,2,0,,,4,14,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
19,19,1971-11-23,24-003,BAL,@,CLE,L (-2),0,6:00,1,7,.143,,,,0,0,,,,1,0,,,1,2,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
20,20,1971-11-24,24-004,BAL,,NYK,L (-20),,21:00,2,7,.286,,,,4,6,.667,,,3,1,,,3,8,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
21,21,1971-11-26,24-006,BAL,@,ATL,W (+13),,7:00,0,4,.000,,,,0,0,,,,2,0,,,1,0,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
22,22,1971-11-27,24-007,BAL,,BOS,W (+5),,12:00,0,4,.000,,,,0,0,,,,2,0,,,2,0,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
23,23,1971-11-30,24-010,BAL,,CIN,L (-15),,18:00,3,9,.333,,,,0,1,.000,,,5,3,,,2,6,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
24,24,1971-12-02,24-012,BAL,,BUF,L (-4),,,3,,,,,,0,0,,,,,,,,,6,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
25,25,1971-12-03,24-013,BAL,,SEA,L (-11),,7:00,1,5,.200,,,,0,0,,,,2,0,,,1,2,1972,zellega01,https://www.basketball-reference.com/players/z/zellega01/gamelog/1972
