Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
54,54,1978-02-16,32-091,WSB,,BUF,W (+14),1,41:00,10,19,.526,5,7,.714,,,11,2,3,3,,2,25,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
55,55,1978-02-17,32-092,WSB,@,IND,L (-12),1,41:00,9,23,.391,8,11,.727,,,12,1,3,2,,5,26,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
56,56,1978-02-19,32-094,WSB,,NOJ,W (+19),1,40:00,13,20,.650,5,11,.455,,,5,0,,,,3,31,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
57,57,1978-02-22,32-097,WSB,,POR,L (-8),1,41:00,12,22,.545,2,3,.667,2,8,10,1,0,2,4,6,26,14.5,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
58,58,1978-02-24,32-099,WSB,,PHO,W (+1),1,52:00,8,22,.364,7,10,.700,5,15,20,1,2,1,2,4,23,17.4,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
59,59,1978-02-26,32-101,WSB,,GSW,W (+11),1,41:00,10,30,.333,17,21,.810,9,9,18,0,1,2,2,4,37,26.2,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
60,60,1978-02-28,32-103,WSB,@,MIL,L (-1),1,13:00,4,6,.667,2,2,1.000,,,2,1,0,0,,3,10,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
61,61,1978-03-01,32-104,WSB,,SAS,W (+15),1,42:00,7,15,.467,6,6,1.000,,,21,0,4,1,,3,20,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
62,62,1978-03-03,32-106,WSB,@,DET,W (+16),1,47:00,8,20,.400,6,6,1.000,5,22,27,0,,11,,4,22,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
63,63,1978-03-05,32-108,WSB,,HOU,W (+18),1,41:00,4,15,.267,1,1,1.000,,,15,0,0,6,,4,9,,1978,hayesel01,https://www.basketball-reference.com/players/h/hayesel01/gamelog/1978
