Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1976-02-18,25-360,DET,,PHO,W (+11),0,4:00,0,0,,,,,2,3,.667,0,1,1,0,0,0,,0,2,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
2,2,1976-02-20,25-362,DET,,WSB,W (+15),0,10:00,0,0,,,,,0,0,,,,2,1,,,,2,0,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
3,3,1976-02-21,25-363,DET,@,BUF,W (+2),0,5:00,1,1,1.000,,,,1,2,.500,,,1,0,,,,1,3,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
4,4,1976-02-25,26-002,DET,,CLE,L (-7),0,9:00,0,0,,,,,0,0,,0,0,0,0,0,0,,1,0,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
5,5,1976-02-27,26-004,DET,,NYK,W (+4),0,10:00,1,3,.333,,,,2,2,1.000,,,6,0,,,,3,4,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
6,6,1976-02-29,26-006,DET,,PHO,L (-11),0,7:00,1,2,.500,,,,0,0,,0,0,0,0,0,0,,2,2,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
7,7,1976-03-02,26-008,DET,@,KCK,L (-14),0,6:00,0,1,.000,,,,0,0,,,,1,0,0,1,,1,0,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
8,8,1976-03-03,26-009,DET,,SEA,W (+4),0,8:00,0,0,,,,,0,0,,,,1,0,,,,3,0,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
9,9,1976-03-05,26-011,DET,@,PHI,L (-11),0,4:00,0,0,,,,,0,0,,,,2,0,,,,1,0,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
10,10,1976-03-07,26-013,DET,@,BOS,L (-1),0,16:00,2,3,.667,,,,0,0,,,,9,0,,3,,5,4,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
11,11,1976-03-09,26-015,DET,,GSW,L (-4),0,10:00,1,1,1.000,,,,0,0,,0,4,4,1,1,1,,0,2,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
12,12,1976-03-12,26-018,DET,@,MIL,W (+16),0,10:00,0,0,,,,,0,0,,,,4,1,0,0,,3,0,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
13,13,1976-03-14,26-020,DET,@,POR,L (-11),0,16:00,1,3,.333,,,,0,0,,4,8,12,0,0,1,,1,2,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
14,14,1976-03-16,26-022,DET,@,GSW,L (-9),0,16:00,0,0,,,,,0,0,,1,2,3,0,1,1,,5,0,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
15,15,1976-03-18,26-024,DET,@,PHO,L (-6),0,21:00,2,4,.500,,,,0,0,,2,5,7,0,0,0,,3,4,1976,brownro02,https://www.basketball-reference.com/players/b/brownro02/gamelog/1976
