Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1973-10-13,22-085,BUF,,LAL,L (-3),0,2:00,1,1,1.000,1,1,1.000,0,0,0,0,,,2,3,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
2,2,1973-10-16,22-088,BUF,@,NYK,L (-26),0,3:00,0,0,,0,0,,0,0,0,0,,,0,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
3,3,1973-10-24,22-096,BUF,@,MIL,L (-17),0,1:00,1,2,.500,0,0,,0,0,0,0,,0,0,2,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
4,4,1973-10-27,22-099,BUF,@,CLE,W (+10),0,1:00,0,0,,0,0,,0,0,0,0,0,0,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
5,5,1973-11-02,22-105,BUF,@,CHI,L (-10),0,1:00,0,0,,0,0,,0,1,1,0,0,,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
6,6,1973-11-07,22-110,BUF,@,SEA,L (-17),0,5:00,1,1,1.000,0,0,,,,2,1,,,1,2,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
7,7,1973-11-10,22-113,BUF,@,GSW,L (-23),0,1:00,0,1,.000,0,0,,0,0,0,0,0,,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
8,8,1973-11-20,22-123,BUF,,PHO,W (+27),0,6:00,1,5,.200,2,2,1.000,3,1,4,0,1,0,1,4,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
9,9,1973-11-28,22-131,BUF,@,ATL,L (-24),0,3:00,0,0,,0,0,,,,0,0,,,0,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
10,10,1973-12-22,22-155,BUF,@,KCO,L (-10),0,2:00,0,1,.000,0,0,,0,0,0,0,,,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
11,11,1973-12-23,22-156,BUF,,CAP,L (-25),0,3:00,2,3,.667,0,0,,,,1,0,,,1,4,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
12,12,1973-12-29,22-162,BUF,@,PHO,W (+12),0,4:00,0,1,.000,0,0,,1,1,2,0,0,0,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
13,13,1974-01-11,22-175,BUF,,HOU,W (+18),0,7:00,1,5,.200,0,0,,,,5,0,,,3,2,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
14,14,1974-01-22,22-186,BUF,,PHI,W (+10),0,1:00,0,0,,0,0,,,,0,0,,,0,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
15,15,1974-01-23,22-187,BUF,,MIL,L (-26),0,9:00,0,1,.000,1,2,.500,,,1,0,,0,3,1,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
16,16,1974-01-25,22-189,BUF,,KCO,L (-5),,,0,0,,3,4,.750,,,1,0,,,1,3,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
17,17,1974-01-27,22-191,BUF,@,HOU,W (+14),0,,1,1,1.000,0,0,,0,0,0,,,,2,2,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
18,18,1974-01-29,22-193,BUF,,GSW,L (-7),0,3:00,0,0,,0,0,,0,0,0,0,0,0,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
19,19,1974-01-30,22-194,BUF,@,DET,L (-15),,,0,,,0,0,,,,,,,,,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
20,20,1974-02-13,22-208,BUF,@,PHI,W (+23),,2:00,0,0,,0,0,,0,0,0,0,,,0,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
21,21,1974-02-17,22-212,BUF,@,HOU,W (+17),0,,0,0,,0,0,,0,0,0,,,,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
22,22,1974-02-19,22-214,BUF,,MIL,W (+36),0,5:00,2,2,1.000,0,2,.000,,,2,1,,1,0,4,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
23,23,1974-02-21,22-216,BUF,,NYK,W (+22),,3:00,0,0,,0,0,,0,0,0,0,,,1,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
24,24,1974-03-10,22-233,BUF,,POR,W (+10),0,2:00,0,2,.000,0,0,,0,0,0,0,0,0,0,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
25,25,1974-03-12,22-235,BUF,,PHO,W (+30),0,3:00,1,3,.333,0,0,,0,2,2,0,0,0,0,2,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
26,26,1974-03-15,22-238,BUF,@,CHI,L (-17),0,14:00,4,8,.500,0,0,,2,2,4,0,1,,4,8,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
27,27,1974-03-16,22-239,BUF,,CLE,W (+9),0,1:00,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
28,28,1974-03-22,22-245,BUF,@,PHO,L (-7),0,6:00,0,0,,0,0,,0,0,0,0,0,0,2,0,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
29,29,1974-03-24,22-247,BUF,@,LAL,L (-26),0,3:00,1,2,.500,1,3,.333,0,0,0,0,0,,1,3,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
30,30,1974-03-26,22-249,BUF,@,HOU,L (-23),0,,2,3,.667,2,3,.667,0,0,0,,,,0,6,1974,macalmi01,https://www.basketball-reference.com/players/m/macalmi01/gamelog/1974
