Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
45,45,1976-03-02,27-174,DET,@,KCK,L (-14),1,41:00,14,18,.778,6,7,.857,,,8,6,1,0,4,34,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
46,46,1976-03-03,27-175,DET,,SEA,W (+4),1,41:00,10,19,.526,4,5,.800,,,9,2,,,3,24,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
47,47,1976-03-05,27-177,DET,@,PHI,L (-11),1,45:00,13,22,.591,3,4,.750,,,16,8,,,3,29,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
48,48,1976-03-07,27-179,DET,@,BOS,L (-1),1,40:00,8,20,.400,2,2,1.000,,,14,1,,,5,18,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
49,49,1976-03-09,27-181,DET,,GSW,L (-4),1,38:00,10,17,.588,10,12,.833,6,6,12,3,1,1,0,30,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
50,50,1976-03-12,27-184,DET,@,MIL,W (+16),1,38:00,9,19,.474,3,3,1.000,,,11,4,2,2,3,21,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
51,51,1976-03-14,27-186,DET,@,POR,L (-11),1,33:00,5,13,.385,2,2,1.000,3,6,9,2,0,3,1,12,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
52,52,1976-03-16,27-188,DET,@,GSW,L (-9),1,39:00,9,16,.563,4,4,1.000,3,12,15,3,1,3,3,22,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
53,53,1976-03-18,27-190,DET,@,PHO,L (-6),1,38:00,11,19,.579,2,6,.333,4,6,10,2,1,0,6,24,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
54,54,1976-03-19,27-191,DET,@,LAL,L (-15),1,31:00,10,13,.769,6,7,.857,4,3,7,3,2,0,5,26,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
55,55,1976-03-21,27-193,DET,,BUF,W (+6),1,41:00,14,24,.583,6,8,.750,,,18,4,,,5,34,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
56,56,1976-03-23,27-195,DET,@,NYK,W (+6),1,40:00,9,18,.500,10,15,.667,,,12,1,,,4,28,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
57,57,1976-03-24,27-196,DET,,KCK,W (+13),1,30:00,10,16,.625,9,9,1.000,,,14,4,0,2,4,29,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
58,58,1976-03-26,27-198,DET,@,CHI,W (+8),1,36:00,7,15,.467,3,6,.500,2,9,11,2,0,1,2,17,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
59,59,1976-03-27,27-199,DET,,POR,W (+18),1,20:00,6,9,.667,2,2,1.000,5,2,7,4,1,1,5,14,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
60,60,1976-03-31,27-203,DET,,CHI,W (+6),1,35:00,8,18,.444,2,2,1.000,2,10,12,1,0,1,1,18,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
61,61,1976-04-02,27-205,DET,,NOJ,W (+14),1,21:00,6,8,.750,0,0,,,,13,2,,,0,12,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
62,62,1976-04-04,27-207,DET,,PHI,W (+4),1,40:00,14,24,.583,9,9,1.000,,,20,4,,,1,37,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
63,63,1976-04-07,27-210,DET,,MIL,W (+10),1,40:00,8,21,.381,7,7,1.000,,,13,9,1,1,2,23,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
64,64,1976-04-11,27-214,DET,@,NOJ,L (-7),1,27:00,7,11,.636,1,2,.500,,,6,3,,,3,15,1976,laniebo01,https://www.basketball-reference.com/players/l/laniebo01/gamelog/1976
