Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1975-11-07,22-019,POR,,KCK,W (+4),1,25:00,5,9,.556,4,4,1.000,0,1,1,2,2,2,4,14,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
2,2,1975-11-11,22-023,POR,,NOJ,W (+2),1,33:00,6,12,.500,1,2,.500,0,3,3,6,3,2,5,13,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
3,3,1975-11-14,22-026,POR,,CHI,W (+4),1,23:00,1,4,.250,1,2,.500,0,1,1,2,3,1,6,3,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
4,4,1975-11-15,22-027,POR,,CLE,L (-4),1,43:00,6,18,.333,8,12,.667,1,0,1,7,4,1,1,20,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
5,5,1975-11-18,22-030,POR,@,NYK,L (-9),1,29:00,5,14,.357,1,2,.500,0,2,2,3,4,0,4,11,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
6,6,1975-11-19,22-031,POR,@,DET,L (-6),1,31:00,7,12,.583,1,3,.333,1,2,3,7,2,2,5,15,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
7,7,1975-11-21,22-033,POR,@,PHI,L (-20),1,29:00,3,7,.429,2,4,.500,1,0,1,7,2,0,4,8,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
8,8,1975-11-22,22-034,POR,@,BUF,W (+5),0,30:00,4,8,.500,4,5,.800,0,3,3,7,1,1,1,12,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
9,9,1975-11-26,22-038,POR,,LAL,W (+17),0,30:00,3,11,.273,3,5,.600,0,3,3,5,5,2,5,9,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
10,10,1975-11-28,22-040,POR,@,PHO,L (-9),0,17:00,2,9,.222,1,2,.500,0,0,0,2,1,0,3,5,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
11,11,1975-11-29,22-041,POR,,BUF,W (+15),0,27:00,2,8,.250,6,6,1.000,0,1,1,7,0,0,2,10,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
12,12,1975-11-30,22-042,POR,@,LAL,L (-7),0,26:00,2,9,.222,0,0,,0,1,1,5,0,1,2,4,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
13,13,1975-12-02,22-044,POR,@,CLE,L (-11),0,25:00,9,13,.692,2,2,1.000,1,1,2,1,1,0,4,20,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
14,14,1975-12-03,22-045,POR,@,MIL,L (-22),0,28:00,3,11,.273,1,4,.250,1,0,1,5,0,0,5,7,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
15,15,1975-12-04,22-046,POR,@,ATL,L (-7),1,37:00,5,17,.294,4,4,1.000,2,3,5,5,1,1,3,14,1976,hollili01,https://www.basketball-reference.com/players/h/hollili01/gamelog/1976
