Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-19,26-047,PHI,,DET,W (+17),0,4:00,0,1,.000,0,0,,,,2,0,,,,4,0,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
2,2,1977-10-22,26-050,PHI,,NOJ,L (-1),0,13:00,0,3,.000,0,0,,,,6,0,0,,,4,0,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
3,3,1977-10-25,26-053,PHI,,KCK,W (+8),0,18:00,0,2,.000,0,2,.000,,,5,1,0,1,,3,0,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
4,4,1977-10-29,26-057,PHI,@,GSW,L (-3),0,5:00,0,3,.000,0,0,,3,4,7,0,0,0,2,2,0,-1.6,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
5,5,1977-11-02,26-061,PHI,,CHI,L (-1),0,10:00,0,1,.000,2,2,1.000,1,2,3,0,1,1,1,2,2,2.5,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
6,6,1977-11-05,26-064,PHI,,DEN,W (+31),0,7:00,4,5,.800,1,1,1.000,,,3,1,,,0,1,9,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
7,7,1977-11-09,26-068,PHI,,NJN,W (+23),0,8:00,2,2,1.000,0,0,,,,3,1,0,,,5,4,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
8,8,1977-11-11,26-070,PHI,,NYK,W (+8),1,18:00,3,6,.500,0,0,,,,3,1,,,,5,6,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
9,9,1977-11-12,26-071,PHI,@,WSB,L (-18),1,17:00,2,3,.667,1,2,.500,,,5,1,,,,6,5,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
10,10,1977-11-15,26-074,PHI,@,ATL,W (+21),0,17:00,3,6,.500,0,0,,,,3,1,0,0,,1,6,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
11,11,1977-11-16,26-075,PHI,,SEA,W (+5),0,18:00,2,4,.500,2,2,1.000,2,5,7,0,,,,0,6,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
12,12,1977-11-18,26-077,PHI,@,BOS,W (+9),0,16:00,1,2,.500,1,2,.500,,,4,2,,,,3,3,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
13,13,1977-11-19,26-078,PHI,,MIL,W (+11),0,31:00,5,10,.500,0,0,,,,16,4,1,4,,2,10,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
14,14,1977-11-22,26-081,PHI,,HOU,W (+6),0,24:00,2,4,.500,0,0,,,,8,0,0,4,,5,4,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
15,15,1977-11-23,26-082,PHI,@,DET,W (+1),0,29:00,0,3,.000,2,2,1.000,,,4,1,,,,3,2,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
16,16,1977-11-25,26-084,PHI,,GSW,W (+6),0,14:00,0,2,.000,0,0,,2,1,3,1,0,3,0,1,0,2.7,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
17,17,1977-11-26,26-085,PHI,@,BUF,W (+5),0,8:00,1,1,1.000,3,4,.750,,,2,0,,,,2,5,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
18,18,1977-11-29,26-088,PHI,@,SAS,W (+12),0,3:00,0,0,,0,0,,0,0,0,0,0,0,,0,0,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
19,19,1977-12-07,26-096,PHI,,POR,W (+22),0,4:00,1,1,1.000,2,3,.667,0,1,1,0,0,1,0,0,4,4.3,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
20,20,1977-12-10,26-099,PHI,@,IND,L (-6),0,6:00,0,1,.000,0,0,,,,3,0,0,,,1,0,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
21,21,1977-12-13,26-102,PHI,@,MIL,L (-12),0,9:00,1,1,1.000,1,2,.500,,,2,0,0,3,,0,3,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
22,22,1977-12-14,26-103,PHI,,ATL,L (-9),0,9:00,1,1,1.000,1,1,1.000,,,2,0,0,0,,3,3,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
23,23,1977-12-16,26-105,PHI,@,CHI,L (-5),0,8:00,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.2,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
24,24,1977-12-17,26-106,PHI,,CLE,W (+13),0,9:00,2,3,.667,0,0,,1,3,4,0,0,,0,2,4,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
25,25,1977-12-21,26-110,PHI,,PHO,W (+6),0,30:00,1,6,.167,0,0,,5,5,10,1,1,2,,3,2,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
26,26,1977-12-25,26-114,PHI,@,NYK,L (-3),0,31:00,1,3,.333,2,4,.500,,,11,4,,,,4,4,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
27,27,1977-12-28,26-117,PHI,,CHI,W (+4),0,14:00,2,4,.500,0,0,,1,2,3,2,0,2,1,2,4,4.3,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
28,28,1978-01-04,26-124,PHI,,CLE,W (+15),0,4:00,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
29,29,1978-01-06,26-126,PHI,,LAL,W (+13),0,4:00,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-1.5,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
30,30,1978-01-10,26-130,PHI,,HOU,W (+15),0,16:00,0,4,.000,0,2,.000,,,7,0,0,0,,0,0,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
31,31,1978-01-13,26-133,PHI,,BUF,W (+25),0,12:00,2,4,.500,0,0,,,,8,1,,,,1,4,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
32,32,1978-01-14,26-134,PHI,@,NJN,W (+16),0,11:00,1,2,.500,0,0,,,,1,0,0,,,4,2,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
33,33,1978-01-18,26-138,PHI,@,KCK,W (+20),0,24:00,3,7,.429,0,2,.000,,,5,1,1,1,,2,6,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
34,34,1978-01-19,26-139,PHI,@,CLE,L (-8),0,19:00,1,7,.143,0,0,,4,0,4,1,1,0,0,0,2,2.0,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
35,35,1978-01-24,26-144,PHI,@,LAL,L (-15),0,5:00,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,2,0.6,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
36,36,1978-02-03,26-154,PHI,,IND,W (+12),0,3:00,0,3,.000,0,0,,0,4,4,0,0,0,,2,0,,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
37,37,1978-02-07,26-158,PHI,@,CHI,L (-2),0,7:00,0,2,.000,0,0,,0,1,1,0,0,2,0,0,0,0.3,1978,catchha01,https://www.basketball-reference.com/players/c/catchha01/gamelog/1978
