Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1972-10-25,26-091,BAL,@,DET,W (+10),,16:00,3,4,0.75,,,,4,4,1.0,,,3,2,,,,4,10,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
2,2,1972-10-27,26-093,BAL,,NYK,L (-4),,11:00,0,3,0.0,,,,0,0,,,,1,0,,,,1,0,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
3,3,1972-10-28,26-094,BAL,@,NYK,L (-4),,23:00,3,6,0.5,,,,2,2,1.0,,,2,1,,,,5,8,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
4,4,1972-11-03,26-100,BAL,@,BOS,L (-13),,37:00,12,18,0.667,,,,2,2,1.0,,,4,3,,,,6,26,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
5,5,1972-11-04,26-101,BAL,,CLE,W (+10),1.0,17:00,4,8,0.5,,,,0,0,,,,1,2,,,,6,8,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
6,6,1972-11-07,26-104,BAL,@,ATL,L (-2),,35:00,5,20,0.25,,,,3,3,1.0,,,6,3,,,,3,13,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
7,7,1972-11-08,26-105,BAL,,BUF,W (+32),,26:00,7,15,0.467,,,,0,0,,,,4,2,,,,6,14,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
8,8,1972-11-10,26-107,BAL,@,MIL,L (-38),,29:00,0,12,0.0,,,,6,6,1.0,,,2,1,,,,2,6,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
9,9,1972-11-11,26-108,BAL,,CHI,L (-5),1.0,25:00,4,6,0.667,,,,5,6,0.833,,,3,3,,,,6,13,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
10,10,1972-11-14,26-111,BAL,,HOU,W (+1),,19:00,3,9,0.333,,,,1,2,0.5,,,2,1,,,,1,7,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
11,11,1972-11-17,26-114,BAL,,PHO,W (+11),1.0,21:00,4,7,0.571,,,,0,0,,,,2,2,,,,2,8,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
12,12,1972-11-18,26-115,BAL,@,CHI,L (-16),0.0,10:00,2,5,0.4,,,,0,0,,,,1,0,,,,3,4,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
13,13,1972-11-21,26-118,BAL,@,BUF,W (+36),,14:00,3,5,0.6,,,,0,0,,,,4,1,,,,0,6,1973,davismi01,https://www.basketball-reference.com/players/d/davismi01/gamelog/1973
