Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1973-10-10,28-073,SDA,@,SAA,W (+15),,,2,,,0,,,0,0,,,,,,,,,,4,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
2,2,1973-10-11,28-074,SDA,@,DNR,L (-24),,,6,,,0,,,4,6,.667,,,,,,,,,16,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
3,3,1973-10-12,28-075,SDA,,MMT,L (-5),,,2,,,0,,,0,2,.000,,,,,,,,,4,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
4,4,1973-10-19,28-082,SDA,,DNR,L (-13),,,3,,,0,,,0,1,.000,,,,,,,,,6,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
5,5,1973-10-21,28-084,SDA,,INA,L (-7),0,35:00,4,11,.364,0,0,,1,3,.333,,,12,1,,,,6,9,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
6,6,1973-10-23,28-086,SDA,,SAA,L (-2),,,0,,,0,,,0,3,.000,,,,,,,,,0,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
7,7,1973-10-26,28-089,SDA,,UTS,W (+20),0,19:00,2,6,.333,0,,,0,0,,,,7,2,0,1,1,,4,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
8,8,1973-10-28,28-091,SDA,,MMT,W (+13),,,9,,,0,,,4,4,1.000,,,,,,,,,22,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
9,9,1973-10-31,28-094,SDA,@,KEN,L (-41),0,19:00,2,9,.222,0,0,,0,0,,,,11,2,,,2,2,4,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
10,10,1973-11-01,28-095,SDA,@,MMT,W (+3),,,3,,,0,,,2,2,1.000,,,,,,,,,8,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
11,11,1973-11-02,28-096,SDA,@,UTS,L (-16),0,26:00,9,15,.600,0,,,0,0,,,,7,1,1,0,1,,18,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
12,12,1973-11-06,28-100,SDA,,DNR,L (-6),,,2,,,0,,,0,0,,,,,,,,,,4,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
13,13,1973-11-07,28-101,SDA,@,SAA,L (-1),,,2,,,0,,,0,1,.000,,,,,,,,,4,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
14,14,1973-11-10,28-104,SDA,,NYA,W (+2),0,14:00,2,6,.333,0,,,0,1,.000,,,2,1,,,,3,4,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
15,15,1973-11-11,28-105,SDA,,INA,W (+1),1,25:00,1,5,.200,0,0,,4,8,.500,,,10,3,,,,5,6,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
16,16,1973-11-14,28-108,SDA,@,UTS,L (-10),1,27:00,8,16,.500,1,,,0,2,.000,,,11,2,2,0,2,,17,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
17,17,1973-11-16,28-110,SDA,,DNR,L (-4),,,7,,,0,,,0,0,,,,,,,,,,14,,1974,https://www.basketball-reference.com/players/m/moorege01/gamelog/1974/aba/
