Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1976-10-21,23-082,IND,,BOS,L (-7),1,35:00,7,21,.333,3,4,.750,,,11,1,0,0,3,17,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
2,2,1976-10-22,23-083,IND,,DEN,L (-13),1,26:00,6,11,.545,5,8,.625,3,2,5,2,1,0,3,17,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
3,3,1976-10-23,23-084,IND,@,CHI,L (-5),0,28:00,5,10,.500,5,6,.833,4,1,5,4,1,0,1,15,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
4,4,1976-10-26,23-087,IND,,SEA,W (+30),0,33:00,8,20,.400,7,10,.700,,,9,4,3,0,1,23,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
5,5,1976-10-29,23-090,IND,@,NYN,W (+1),0,18:00,4,9,.444,0,0,,,,4,1,3,0,0,8,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
6,6,1976-10-30,23-091,IND,,KCK,W (+10),1,27:00,9,16,.563,4,7,.571,,,2,1,0,0,4,22,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
7,7,1976-11-03,23-095,IND,,SAS,W (+16),1,36:00,4,15,.267,0,1,.000,,,10,7,1,0,2,8,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
8,8,1976-11-05,23-097,IND,@,KCK,L (-9),1,20:00,3,8,.375,1,1,1.000,,,2,2,4,0,2,7,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
9,9,1976-11-06,23-098,IND,@,SAS,L (-19),1,15:00,3,6,.500,1,2,.500,,,1,1,1,0,3,7,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
10,10,1976-11-11,23-103,IND,@,PHO,L (-10),1,38:00,8,16,.500,0,0,,1,2,3,7,4,0,2,16,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
11,11,1976-11-12,23-104,IND,@,LAL,L (-11),1,20:00,5,9,.556,0,0,,,,4,2,,,1,10,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
12,12,1976-11-13,23-105,IND,@,GSW,L (-8),0,13:00,2,9,.222,0,0,,0,0,0,3,0,0,2,4,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
13,13,1976-11-14,23-106,IND,@,SEA,L (-3),0,19:00,3,6,.500,2,4,.500,,,3,4,3,0,2,8,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
14,14,1976-11-17,23-109,IND,@,PHI,W (+6),0,8:00,1,3,.333,0,0,,,,1,2,,,1,2,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
15,15,1976-11-18,23-110,IND,,DET,W (+5),0,27:00,5,10,.500,0,0,,,,3,3,,,2,10,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
16,16,1976-11-24,23-116,IND,,ATL,W (+22),0,19:00,3,7,.429,0,0,,,,2,3,,,0,6,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
17,17,1976-11-26,23-118,IND,,MIL,W (+11),0,29:00,9,17,.529,2,3,.667,,,6,7,1,0,4,20,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
18,18,1976-11-27,23-119,IND,@,DEN,L (-9),0,32:00,11,18,.611,2,2,1.000,1,1,2,2,3,0,4,24,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
19,19,1976-11-28,23-120,IND,@,POR,L (-30),0,36:00,6,12,.500,2,2,1.000,0,2,2,8,0,0,3,14,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
20,20,1976-11-30,23-122,IND,,PHO,W (+6),0,17:00,2,5,.400,0,0,,1,4,5,1,0,0,3,4,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
21,21,1976-12-01,23-123,IND,,POR,L (-1),1,27:00,6,11,.545,2,2,1.000,1,3,4,4,0,0,3,14,1977,flynnmi01,https://www.basketball-reference.com/players/f/flynnmi01/gamelog/1977
