Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
56,56,1978-02-18,26-077,CLE,,KCK,W (+4),0,14:00,1,1,1.000,1,3,.333,0,2,2,0,1,0,1,1,3,2.1,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
57,57,1978-02-20,26-079,CLE,@,CHI,L (-11),0,19:00,1,3,.333,2,2,1.000,1,6,7,5,1,2,1,4,4,8.1,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
58,58,1978-02-21,26-080,CLE,,PHI,L (-13),0,19:00,5,8,.625,1,2,.500,7,2,9,0,2,1,0,1,11,14.8,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
59,59,1978-02-24,26-083,CLE,@,NOJ,L (-3),0,12:00,0,2,.000,0,0,,1,0,1,0,0,0,1,5,0,-3.7,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
60,60,1978-02-25,26-084,CLE,@,SAS,L (-4),0,20:00,2,3,.667,0,0,,2,5,7,2,2,0,0,1,4,8.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
61,61,1978-02-27,26-086,CLE,@,HOU,W (+13),0,10:00,0,3,.000,0,0,,1,1,2,0,0,0,1,1,0,-2.5,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
62,62,1978-03-01,26-088,CLE,@,DEN,W (+6),0,12:00,0,2,.000,0,0,,2,3,5,0,0,1,0,1,0,1.2,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
63,63,1978-03-04,26-091,CLE,@,POR,L (-5),0,11:00,0,0,,1,2,.500,1,4,5,0,0,0,0,1,1,2.1,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
64,64,1978-03-05,26-092,CLE,@,LAL,L (-11),0,16:00,2,2,1.000,1,2,.500,2,2,4,0,0,1,1,1,5,5.3,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
65,65,1978-03-08,26-095,CLE,@,GSW,L (-10),0,14:00,0,0,,0,0,,0,3,3,0,0,0,2,3,0,-2.3,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
