Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
54,54,1977-02-16,33-360,PHO,@,IND,L (-18),0,21:00,3,7,.429,0,0,,1,3,4,0,0,0,1,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
55,55,1977-02-18,33-362,PHO,@,PHI,W (+6),0,14:00,3,6,.500,0,0,,0,0,0,2,0,0,1,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
56,56,1977-02-19,33-363,PHO,@,CLE,L (-4),0,16:00,1,4,.250,0,0,,0,0,0,1,0,0,2,2,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
57,57,1977-02-20,33-364,PHO,@,DET,L (-2),0,24:00,7,10,.700,0,0,,0,2,2,0,0,0,3,14,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
58,58,1977-02-22,34-000,PHO,@,BUF,L (-1),0,20:00,2,5,.400,0,0,,0,0,0,2,1,0,3,4,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
59,59,1977-02-24,34-002,PHO,,HOU,L (-3),0,22:00,1,6,.167,0,0,,0,0,0,0,1,0,2,2,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
60,60,1977-02-26,34-004,PHO,,BOS,L (-4),0,15:00,2,5,.400,2,2,1.000,1,1,2,2,0,0,0,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
61,61,1977-03-02,34-008,PHO,,CHI,L (-4),0,19:00,2,5,.400,1,1,1.000,0,2,2,1,0,0,2,5,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
62,62,1977-03-04,34-010,PHO,,GSW,L (-14),0,21:00,4,10,.400,2,2,1.000,1,3,4,1,0,0,1,10,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
63,63,1977-03-06,34-012,PHO,@,WSB,L (-8),0,11:00,3,5,.600,1,3,.333,1,0,1,0,0,0,1,7,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
64,64,1977-03-16,34-022,PHO,,NYK,W (+33),0,9:00,1,4,.250,3,3,1.000,0,1,1,1,0,0,1,5,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
65,65,1977-03-18,34-024,PHO,,NOJ,L (-4),0,17:00,4,10,.400,2,2,1.000,1,0,1,1,1,0,2,10,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
