Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
54,54,1976-02-10,28-300,LAL,,DET,W (+18),1,42:00,3,15,.200,2,4,.500,1,14,15,5,0,6,4,8,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
55,55,1976-02-13,28-303,LAL,,NOJ,W (+14),1,34:00,12,21,.571,8,9,.889,3,12,15,8,0,3,5,32,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
56,56,1976-02-15,28-305,LAL,@,WSB,L (-13),1,43:00,10,25,.400,1,2,.500,3,10,13,6,1,1,4,21,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
57,57,1976-02-17,28-307,LAL,@,NOJ,W (+14),1,45:00,11,28,.393,6,8,.750,3,19,22,5,2,4,2,28,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
58,58,1976-02-18,28-308,LAL,@,HOU,L (-16),1,41:00,16,22,.727,2,4,.500,2,11,13,6,0,0,5,34,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
59,59,1976-02-20,28-310,LAL,,BOS,L (-12),1,40:00,8,24,.333,4,5,.800,1,6,7,3,0,4,3,20,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
60,60,1976-02-22,28-312,LAL,@,SEA,L (-6),1,41:00,9,15,.600,6,7,.857,2,12,14,5,0,3,3,24,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
61,61,1976-02-27,28-317,LAL,,KCK,W (+7),1,44:00,11,21,.524,5,9,.556,3,8,11,6,1,4,3,27,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
62,62,1976-02-29,28-319,LAL,,CLE,W (+11),1,44:00,12,26,.462,2,2,1.000,0,11,11,7,4,5,1,26,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
63,63,1976-03-05,28-324,LAL,,GSW,W (+7),1,46:00,13,18,.722,9,12,.750,5,15,20,12,3,2,4,35,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
64,64,1976-03-07,28-326,LAL,,CHI,L (-3),1,42:00,11,20,.550,3,7,.429,2,15,17,10,3,3,4,25,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
65,65,1976-03-09,28-328,LAL,@,NYK,L (-5),1,42:00,12,25,.480,2,6,.333,8,8,16,6,1,5,5,26,1976,abdulka01,https://www.basketball-reference.com/players/a/abdulka01/gamelog/1976
