Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
1,1,1968-01-10,22-352,DNR,,KEN,W (+16),,,1,5,.200,0,0,,0,0,,,,1,,,0,2,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
2,2,1968-01-11,22-353,DNR,@,HSM,W (+7),,,1,,,0,,,0,0,,,,,,,,2,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
3,3,1968-01-16,22-358,DNR,,MNM,W (+17),,,4,,,0,,,3,3,1.000,,,,,,,11,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
4,4,1968-01-18,22-360,DNR,,NOB,W (+29),,,4,,,0,,,4,5,.800,,,,,,,12,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
5,5,1968-01-19,22-361,DNR,@,ANA,W (+7),,,6,,,0,,,7,9,.778,,,,,,,19,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
6,6,1968-01-21,22-363,DNR,@,ANA,W (+27),,,1,,,0,,,2,2,1.000,,,,,,,4,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
7,7,1968-01-24,23-001,DNR,,KEN,L (-1),,,2,6,.333,0,0,,1,4,.250,,,1,,,2,5,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
8,8,1968-01-26,23-003,DNR,@,NOB,W (+7),,,4,,,0,,,3,4,.750,,,,,,,11,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
9,9,1968-01-27,23-004,DNR,@,DLC,W (+11),,,1,,,0,,,0,0,,,,,,,,2,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
10,10,1968-01-29,23-006,DNR,,DLC,L (-3),,,5,,,0,,,0,2,.000,,,,,,,10,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
11,11,1968-01-30,23-007,DNR,@,OAK,W (+24),,,2,,,0,,,3,4,.750,,,,,,,7,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
12,12,1968-01-31,23-008,DNR,@,ANA,L (-7),,,1,,,0,,,1,1,1.000,,,,,,,3,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
13,13,1968-02-04,23-012,DNR,,NOB,L (-5),,,3,,,0,,,0,4,.000,,,,,,,6,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
14,14,1968-02-07,23-015,DNR,,DLC,W (+10),,,5,,,0,,,2,2,1.000,,,,,,,12,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
15,15,1968-02-08,23-016,DNR,@,INA,W (+7),,,4,,,0,,,1,3,.333,,,,,,,9,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
16,16,1968-02-09,23-017,DNR,@,KEN,L (-7),,,1,7,.143,0,1,.000,0,0,,,,1,,,2,2,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
17,17,1968-02-11,23-019,DNR,@,NOB,L (-8),,,1,,,0,,,1,1,1.000,,,,,,,3,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
18,18,1968-02-12,23-020,DNR,@,DLC,L (-13),,,0,,,0,,,0,0,,,,,,,,0,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
19,19,1968-02-15,23-023,DNR,,ANA,W (+34),,,4,,,0,,,1,1,1.000,,,,,,,9,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
20,20,1968-02-16,23-024,DNR,@,DLC,L (-4),,,1,,,0,,,4,5,.800,,,,,,,6,,1968,https://www.basketball-reference.com/players/w/wrighlo01/gamelog/1968/aba/
