Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1971-10-15,23-289,DET,,LAL,L (-29),,7:00,2,4.0,0.5,,,,3,6,0.5,,,2,0,,,1,7,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
2,2,1971-10-29,23-303,DET,,BAL,W (+14),,21:00,3,7.0,0.429,,,,1,2,0.5,,,4,2,,,4,7,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
3,3,1971-10-30,23-304,DET,@,ATL,W (+5),,20:00,3,,,,,,0,0,,,,1,1,,,0,6,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
4,4,1971-11-05,23-310,DET,@,BOS,L (-1),,23:00,3,11.0,0.273,,,,0,0,,,,3,0,,,1,6,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
5,5,1971-11-06,23-311,DET,@,MIL,L (-28),,18:00,0,7.0,0.0,,,,0,0,,,,11,1,,,1,0,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
6,6,1971-11-10,23-315,DET,,POR,W (+17),0.0,4:00,1,2.0,0.5,,,,0,0,,,,1,0,,,0,2,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
7,7,1971-11-12,23-317,DET,@,PHI,L (-14),,1:00,0,0.0,,,,,0,0,,,,0,0,,,0,0,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
8,8,1971-11-13,23-318,DET,@,NYK,L (-22),,10:00,3,7.0,0.429,,,,3,4,0.75,,,1,0,,,0,9,1972,mixst01,https://www.basketball-reference.com/players/m/mixst01/gamelog/1972
