Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1975-12-05,28-008,BUF,,CLE,W (+37),0,10:00,0,2,.000,,,,0,0,,1,1,2,1,0,0,,2,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
2,2,1975-12-06,28-009,BUF,@,NYK,L (-10),0,11:00,2,3,.667,,,,0,0,,,,2,0,,,,2,4,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
3,3,1975-12-09,28-012,BUF,,KCK,W (+19),0,17:00,8,9,.889,,,,3,4,.750,,,5,3,2,0,,2,19,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
4,4,1975-12-11,28-014,BUF,@,ATL,L (-23),0,19:00,0,2,.000,,,,0,0,,,,2,0,,,,2,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
5,5,1975-12-12,28-015,BUF,,NYK,W (+13),0,21:00,3,7,.429,,,,2,3,.667,,,9,3,,,,5,8,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
6,6,1975-12-13,28-016,BUF,@,CHI,W (+2),0,15:00,0,1,.000,,,,0,0,,0,2,2,0,0,0,,4,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
7,7,1975-12-16,28-019,BUF,@,WSB,L (-6),0,19:00,3,8,.375,,,,0,0,,,,3,2,,,,3,6,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
8,8,1975-12-17,28-020,BUF,,HOU,W (+3),0,18:00,1,4,.250,,,,0,0,,,,3,2,,,,1,2,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
9,9,1975-12-19,28-022,BUF,,WSB,W (+16),0,6:00,0,1,.000,,,,0,0,,,,1,1,,,,0,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
10,10,1975-12-20,28-023,BUF,@,KCK,W (+7),0,5:00,0,1,.000,,,,0,0,,,,1,0,0,0,,0,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
11,11,1975-12-23,28-026,BUF,,BOS,W (+9),0,13:00,0,0,,,,,0,0,,,,1,0,,,,,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
12,12,1975-12-26,28-029,BUF,@,PHI,L (-1),0,11:00,0,3,.000,,,,0,0,,,,2,1,,,,3,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
13,13,1975-12-27,28-030,BUF,,PHI,W (+25),0,20:00,5,7,.714,,,,3,4,.750,,,4,3,,,,4,13,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
14,14,1975-12-28,28-031,BUF,@,CLE,L (-23),0,15:00,0,1,.000,,,,0,0,,0,4,4,0,0,0,,2,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
15,15,1976-01-02,28-036,BUF,,NYK,W (+1),0,7:00,0,0,,,,,0,0,,,,3,2,,,,2,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
16,16,1976-01-03,28-037,BUF,@,NYK,L (-1),0,3:00,0,1,.000,,,,0,0,,,,3,0,,,,0,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
17,17,1976-01-06,28-040,BUF,,LAL,W (+1),0,10:00,0,2,.000,,,,0,0,,0,1,1,1,0,0,,1,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
18,18,1976-01-09,28-043,BUF,,CHI,L (-7),0,15:00,1,3,.333,,,,5,6,.833,1,6,7,1,0,1,,3,7,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
19,19,1976-01-11,28-045,BUF,@,SEA,W (+21),0,12:00,0,2,.000,,,,0,0,,,,0,4,,,,3,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
20,20,1976-01-13,28-047,BUF,@,GSW,L (-26),0,6:00,0,1,.000,,,,0,0,,1,1,2,1,0,0,,0,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
21,21,1976-01-15,28-049,BUF,@,PHO,W (+7),0,3:00,0,1,.000,,,,0,0,,0,0,0,1,0,0,,1,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
22,22,1976-01-21,28-055,BUF,@,ATL,W (+8),0,6:00,0,1,.000,,,,2,2,1.000,0,0,0,1,,,,2,2,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
23,23,1976-01-23,28-057,BUF,,ATL,W (+15),0,8:00,0,0,,,,,0,0,,0,0,0,1,,,,0,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
24,24,1976-01-25,28-059,BUF,@,BOS,L (-28),0,19:00,1,3,.333,,,,0,1,.000,,,3,4,,,,3,2,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
25,25,1976-01-27,28-061,BUF,,NOJ,W (+24),0,13:00,5,7,.714,,,,1,2,.500,,,2,1,,,,3,11,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
26,26,1976-01-28,28-062,BUF,@,NOJ,W (+14),0,3:00,0,0,,,,,0,0,,,,1,0,,,,1,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
27,27,1976-02-06,28-071,BUF,,MIL,W (+5),0,13:00,1,2,.500,,,,1,3,.333,,,1,2,,0,,3,3,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
28,28,1976-02-08,28-073,BUF,@,PHI,L (-3),0,14:00,0,3,.000,,,,4,4,1.000,,,2,1,,,,4,4,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
29,29,1976-02-10,28-075,BUF,,WSB,W (+10),0,13:00,2,2,1.000,,,,0,0,,,,7,3,,,,4,4,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
30,30,1976-02-13,28-078,BUF,@,KCK,W (+5),0,13:00,1,4,.250,,,,2,2,1.000,,,2,1,1,0,,3,4,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
31,31,1976-02-14,28-079,BUF,,CLE,L (-3),0,4:00,0,0,,,,,0,0,,0,0,0,0,0,0,,2,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
32,32,1976-02-15,28-080,BUF,@,ATL,L (-8),0,11:00,1,2,.500,,,,3,4,.750,0,0,0,2,,,,2,5,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
33,33,1976-02-17,28-082,BUF,,POR,W (+3),0,20:00,3,7,.429,,,,3,4,.750,1,3,4,4,0,0,,4,9,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
34,34,1976-02-21,28-086,BUF,,DET,L (-2),0,29:00,2,4,.500,,,,0,0,,,,5,7,,,,4,4,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
35,35,1976-02-24,28-089,BUF,@,NYK,W (+6),0,13:00,1,4,.250,,,,0,0,,,,3,0,,,,4,2,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
36,36,1976-02-25,28-090,BUF,,SEA,L (-32),1,18:00,1,3,.333,,,,2,2,1.000,,,1,0,,,,2,4,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
37,37,1976-02-27,28-092,BUF,,HOU,L (-6),0,4:00,0,0,,,,,0,0,,,,1,1,0,0,,2,0,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
38,38,1976-03-06,28-100,BUF,,PHI,W (+6),0,11:00,2,7,.286,,,,4,4,1.000,,,3,2,,,,4,8,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
39,39,1976-03-10,28-104,BUF,@,NOJ,W (+15),0,16:00,1,3,.333,,,,0,0,,,,2,1,,,,3,2,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
40,40,1976-03-12,28-106,BUF,,HOU,L (-13),0,21:00,10,12,.833,,,,0,0,,,,1,0,1,,,4,20,1976,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01/gamelog/1976
