Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1976-10-22,30-053,DEN,@,IND,W (+13),1,20:00,3,6,.500,1,2,.500,2,1,3,2,2,0,4,7,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
2,2,1976-10-23,30-054,DEN,,KCK,W (+21),1,24:00,4,6,.667,0,0,,0,4,4,5,4,0,2,8,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
3,3,1976-10-28,30-059,DEN,,MIL,W (+19),1,26:00,4,10,.400,3,4,.750,2,1,3,4,1,0,3,11,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
4,4,1976-10-30,30-061,DEN,,PHO,W (+6),1,19:00,5,10,.500,0,0,,1,2,3,8,1,1,5,10,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
5,5,1976-11-03,30-065,DEN,,NYK,W (+9),1,24:00,5,7,.714,0,0,,1,4,5,2,1,0,3,10,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
6,6,1976-11-05,30-067,DEN,@,CHI,W (+14),1,22:00,1,3,.333,0,0,,1,4,5,3,2,0,5,2,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
7,7,1976-11-06,30-068,DEN,@,MIL,W (+2),1,22:00,0,9,.000,0,0,,0,4,4,4,0,0,5,0,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
8,8,1976-11-09,30-071,DEN,,GSW,W (+6),1,24:00,3,7,.429,2,2,1.000,2,2,4,7,0,0,4,8,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
9,9,1976-11-11,30-073,DEN,@,BUF,L (-11),1,17:00,4,15,.267,0,1,.000,2,3,5,1,0,0,5,8,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
10,10,1976-11-13,30-075,DEN,,KCK,W (+32),1,19:00,5,8,.625,1,1,1.000,0,4,4,6,0,0,2,11,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
11,11,1976-11-17,30-079,DEN,,NYN,W (+34),1,21:00,4,7,.571,0,0,,0,2,2,5,1,1,2,8,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
12,12,1976-11-23,30-085,DEN,,WSB,W (+21),0,29:00,3,13,.231,2,2,1.000,1,2,3,5,3,0,2,8,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
13,13,1976-11-24,30-086,DEN,,LAL,W (+10),0,29:00,6,10,.600,4,5,.800,1,3,4,4,2,1,2,16,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
14,14,1976-11-26,30-088,DEN,@,KCK,L (-10),0,27:00,5,8,.625,2,3,.667,2,0,2,6,2,0,3,12,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
15,15,1976-11-27,30-089,DEN,,IND,W (+9),1,28:00,6,10,.600,0,1,.000,0,2,2,4,2,0,4,12,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
16,16,1976-11-30,30-092,DEN,@,CLE,L (-6),1,37:00,3,12,.250,1,1,1.000,0,4,4,4,3,1,4,7,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
17,17,1976-12-01,30-093,DEN,@,PHI,L (-12),1,28:00,2,7,.286,0,1,.000,1,3,4,7,0,0,4,4,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
18,18,1976-12-03,30-095,DEN,@,NYN,W (+2),1,25:00,4,6,.667,0,0,,0,3,3,4,4,1,5,8,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
19,19,1976-12-04,30-096,DEN,@,WSB,L (-5),1,30:00,2,6,.333,0,0,,1,3,4,3,3,0,6,4,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
20,20,1976-12-05,30-097,DEN,@,NOJ,W (+12),1,28:00,4,9,.444,2,2,1.000,,,4,2,,,3,10,1977,mcclate01,https://www.basketball-reference.com/players/m/mcclate01/gamelog/1977
