Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-22,29-033,BOS,@,HOU,L (-12),0,9:00,0,1,0.0,1,2,0.5,1,3,4,1,0,0,0.0,1,1,1.8,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
2,2,1977-12-08,29-080,CHI,,NJN,W (+26),0,10:00,1,1,1.0,2,3,0.667,0,3,3,2,0,0,2.0,0,4,3.6,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
3,3,1977-12-10,29-082,CHI,,SAS,W (+2),0,8:00,0,1,0.0,0,0,,2,4,6,0,0,0,1.0,2,0,0.1,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
4,4,1977-12-13,29-085,CHI,,DEN,W (+3),0,6:00,1,1,1.0,0,0,,2,3,5,0,0,0,1.0,2,2,2.2,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
5,5,1977-12-14,29-086,CHI,@,SAS,L (-8),0,10:00,0,0,,0,0,,0,1,1,0,0,0,2.0,3,0,-2.9,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
6,6,1977-12-16,29-088,CHI,,PHI,W (+5),0,8:00,2,3,0.667,0,0,,1,1,2,0,0,0,0.0,2,4,2.9,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
7,7,1977-12-17,29-089,CHI,@,NYK,L (-9),0,2:00,0,0,,0,0,,0,0,0,0,0,0,0.0,0,0,0.0,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
8,8,1977-12-22,29-094,CHI,@,KCK,L (-3),0,8:00,0,1,0.0,0,0,,0,2,2,0,0,0,2.0,1,0,-2.5,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
9,9,1977-12-23,29-095,CHI,,DET,L (-1),0,8:00,1,1,1.0,0,0,,1,0,1,1,0,0,1.0,0,2,2.1,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
10,10,1977-12-27,29-099,CHI,,POR,W (+9),0,8:00,1,1,1.0,0,0,,0,1,1,1,0,0,0.0,0,2,2.7,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
11,11,1977-12-28,29-100,CHI,@,PHI,L (-4),0,17:00,1,2,0.5,0,0,,0,5,5,2,0,0,1.0,1,2,2.5,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
12,12,1977-12-30,29-102,CHI,,BOS,W (+5),0,9:00,1,2,0.5,0,0,,1,1,2,0,0,0,0.0,1,2,1.6,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
13,13,1978-01-01,29-104,CHI,@,SEA,L (-18),0,10:00,0,1,0.0,0,0,,0,1,1,0,0,0,,2,0,,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
14,14,1978-01-03,29-106,CHI,@,POR,L (-2),0,9:00,0,0,,0,0,,0,2,2,1,0,0,1.0,1,0,-0.1,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
15,15,1978-01-04,29-107,CHI,@,GSW,L (-21),0,3:00,0,2,0.0,0,0,,1,0,1,0,0,0,1.0,3,0,-2.9,1978,ardji01,https://www.basketball-reference.com/players/a/ardji01/gamelog/1978
