Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1972-10-11,27-009,LAL,@,KCO,W (+35),,15:00,1,4,.250,,,,5,8,.625,,,5,1,,,,5,7,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
2,2,1972-10-20,27-018,LAL,,POR,W (+22),0,9:00,0,1,.000,,,,0,0,,,,2,1,,,,1,0,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
3,3,1972-10-24,27-022,LAL,@,KCO,W (+20),,,2,4,.500,,,,0,0,,,,4,0,,,,3,4,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
4,4,1972-10-27,27-025,LAL,,GSW,L (-28),0,3:00,0,0,,,,,0,0,,,,0,0,,,,0,0,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
5,5,1972-10-29,27-027,LAL,,PHO,W (+10),0,4:00,0,3,.000,,,,2,2,1.000,,,3,0,,,,1,2,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
6,6,1972-11-03,27-032,PHI,,KCO,L (-13),,5:00,1,1,1.000,,,,0,0,,,,1,0,,,,2,2,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
7,7,1972-11-04,27-033,PHI,@,ATL,L (-8),,34:00,8,12,.667,,,,7,8,.875,,,8,3,,,,5,23,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
8,8,1972-11-05,27-034,PHI,@,MIL,L (-18),,22:00,2,10,.200,,,,0,0,,,,7,2,,,,4,4,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
9,9,1972-11-08,27-037,PHI,@,KCO,L (-18),,,6,10,.600,,,,0,0,,,,3,2,,,,6,12,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
10,10,1972-11-10,27-039,PHI,,NYK,L (-19),,18:00,4,11,.364,,,,0,0,,,,4,0,,,,3,8,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
11,11,1972-11-11,27-040,PHI,,HOU,W (+2),,,3,,,,,,0,3,.000,,,,,,,,,6,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
12,12,1972-11-12,27-041,PHI,@,PHO,L (-11),0,22:00,10,13,.769,,,,2,2,1.000,,,2,1,,,,4,22,1973,trappjo01,https://www.basketball-reference.com/players/t/trappjo01/gamelog/1973
