Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
39,39,1950-02-05,24-299,BLB,@,SYR,L (-9),,,6,,,4,5,.800,,,4,16,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
40,40,1950-02-09,24-303,BLB,,STB,W (+12),,,5,,,5,8,.625,,,3,15,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
41,41,1950-02-11,24-305,BLB,,SYR,L (-1),,,10,,,3,5,.600,,,,23,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
42,42,1950-02-15,24-309,BLB,@,NYK,L (-13),,,6,20,.300,3,4,.750,,2,4,15,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
43,43,1950-02-16,24-310,BLB,,FTW,W (+6),,,4,,,5,6,.833,,,,13,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
44,44,1950-02-18,24-312,BLB,,PHW,L (-27),,,2,8,.250,1,3,.333,,1,5,5,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
45,45,1950-02-19,24-313,BLB,@,FTW,L (-8),,,8,,,3,4,.750,,,,19,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
46,46,1950-02-20,24-314,BLB,@,TRI,L (-9),,,2,,,3,4,.750,,,,7,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
47,47,1950-02-21,24-315,BLB,@,CHS,L (-8),,,1,,,2,3,.667,,,,4,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
48,48,1950-02-22,24-316,BLB,@,WAT,W (+7),,,8,,,5,5,1.000,,,,21,1950,hoffmpa01,https://www.basketball-reference.com/players/h/hoffmpa01/gamelog/1950
