Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
41,41,1975-01-29,23-266,KCO,,MIL,W (+4),0,16:00,0,3,.000,0,0,,,,1,1,3,0,2,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
42,42,1975-02-02,23-270,KCO,,GSW,W (+26),0,23:00,3,6,.500,0,0,,1,5,6,10,2,0,3,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
43,43,1975-02-03,23-271,KCO,,PHI,W (+13),,,5,8,.625,0,0,,,,4,4,4,1,2,10,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
44,44,1975-02-05,23-273,KCO,,POR,W (+8),0,16:00,3,4,.750,0,0,,0,1,1,3,3,0,4,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
45,45,1975-02-06,23-274,KCO,@,MIL,W (+1),0,16:00,3,4,.750,0,0,,,,1,1,2,0,3,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
46,46,1975-02-08,23-276,KCO,@,CLE,L (-1),0,19:00,2,3,.667,0,2,.000,0,1,1,2,2,1,2,4,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
47,47,1975-02-12,23-280,KCO,,BOS,W (+1),0,14:00,0,3,.000,0,0,,,,1,1,1,0,3,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
48,48,1975-02-14,23-282,KCO,@,BUF,W (+20),0,13:00,3,3,1.000,0,0,,0,0,0,2,0,0,2,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
49,49,1975-02-15,23-283,KCO,@,DET,W (+12),0,,0,0,,0,0,,0,0,0,1,0,0,2,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
50,50,1975-02-16,23-284,KCO,,DET,W (+3),,,0,0,,0,0,,0,0,0,1,0,1,3,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
51,51,1975-02-19,23-287,KCO,,LAL,W (+23),0,25:00,5,9,.556,4,5,.800,0,0,0,4,2,2,4,14,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
52,52,1975-02-25,23-293,KCO,,MIL,W (+3),0,13:00,2,3,.667,0,0,,,,1,2,2,0,0,4,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
53,53,1975-02-28,23-296,KCO,@,NOJ,L (-7),0,,2,3,.667,0,0,,,,2,1,2,0,4,4,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
54,54,1975-03-01,23-297,KCO,@,ATL,L (-13),0,,2,5,.400,2,2,1.000,,,3,3,3,0,2,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
55,55,1975-03-02,23-298,KCO,,DET,W (+10),0,,1,3,.333,0,0,,,,1,4,0,0,0,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
56,56,1975-03-04,23-300,KCO,,PHO,W (+4),0,9:00,0,1,.000,2,3,.667,0,2,2,2,0,0,3,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
57,57,1975-03-06,23-302,KCO,,BUF,W (+1),0,19:00,1,3,.333,0,0,,,,2,5,0,0,2,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
58,58,1975-03-08,23-304,KCO,,SEA,L (-4),0,11:00,0,3,.000,0,0,,,,1,2,1,0,2,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
59,59,1975-03-09,23-305,KCO,@,DET,L (-7),0,,3,5,.600,0,0,,,,3,2,0,0,1,6,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
60,60,1975-03-10,23-306,KCO,@,MIL,L (-7),0,9:00,1,2,.500,0,0,,,,1,1,0,1,3,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
61,61,1975-03-14,23-310,KCO,,WSB,W (+1),0,4:00,0,2,.000,0,0,,0,0,0,1,0,0,1,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
62,62,1975-03-18,23-314,KCO,,ATL,W (+4),0,,2,5,.400,1,1,1.000,,,2,3,2,0,4,5,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
63,63,1975-03-20,23-316,KCO,,NOJ,W (+6),0,,0,4,.000,0,0,,,,1,3,,1,4,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
64,64,1975-03-21,23-317,KCO,@,CHI,L (-6),0,3:00,0,0,,0,0,,0,0,0,0,0,0,0,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
65,65,1975-03-23,23-319,KCO,,CHI,W (+2),0,14:00,0,3,.000,0,0,,0,1,1,2,3,1,1,0,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
66,66,1975-03-27,23-323,KCO,@,GSW,L (-8),0,9:00,1,3,.333,0,0,,0,0,0,2,0,0,3,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
67,67,1975-03-28,23-324,KCO,@,LAL,L (-11),0,11:00,1,3,.333,0,0,,1,1,2,1,1,0,2,2,1975,dantomi01,https://www.basketball-reference.com/players/d/dantomi01/gamelog/1975
