Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
1,1,1970-10-18,25-081,TEX,@,INA,L (-21),,,3,,,0,,,0,0,,,,,,,,6,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
2,2,1970-10-21,25-084,TEX,@,DNR,L (-18),,,4,,,0,,,1,1,1.000,,,,,,,9,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
3,3,1970-10-23,25-086,TEX,,INA,L (-4),0,14:00,2,6,.333,0,0,,5,6,.833,,,3,1,,1,9,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
4,4,1970-10-27,25-090,TEX,,NYA,W (+4),,,5,,,0,,,0,1,.000,,,,,,,10,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
5,5,1970-11-03,25-097,TEX,,MMP,L (-2),,,1,,,0,,,0,0,,,,,,,,2,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
6,6,1970-11-05,25-099,TEX,@,FLO,L (-20),,,2,,,0,,,3,6,.500,,,,,,,7,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
7,7,1970-11-06,25-100,TEX,@,VIR,L (-1),,,3,,,0,,,4,5,.800,,,,,,,10,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
8,8,1970-11-07,25-101,TEX,,FLO,W (+3),,,4,,,0,,,5,9,.556,,,,,,,13,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
9,9,1970-11-09,25-103,TEX,@,MMP,L (-14),,,3,,,0,,,0,3,.000,,,,,,,6,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
10,10,1970-11-10,25-104,TEX,@,UTS,L (-19),,,4,,,0,,,0,0,,,,,,,,8,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
11,11,1970-11-13,25-107,TEX,,PTC,L (-6),,,4,,,0,,,1,1,1.000,,,,,,,9,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
12,12,1970-11-14,25-108,TEX,@,KEN,L (-17),0,,2,10,.200,0,0,,2,3,.667,,,13,,,4,6,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
13,13,1970-11-15,25-109,TEX,@,NYA,L (-15),,,4,,,0,,,0,0,,,,,,,,8,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
14,14,1970-11-19,25-113,TEX,@,UTS,L (-15),,,8,,,0,,,1,3,.333,,,,,,,17,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
15,15,1970-11-20,25-114,TEX,,INA,W (+14),1,15:00,2,7,.286,0,0,,0,0,,,,7,1,,4,4,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
16,16,1970-11-21,25-115,TEX,@,FLO,L (-15),,,1,,,0,,,0,0,,,,,,,,2,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
17,17,1970-11-22,25-116,TEX,@,PTC,W (+13),,,5,10,.500,0,,,0,0,,,,8,,,1,10,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
18,18,1970-11-24,25-118,TEX,,PTC,L (-3),,,6,,,0,,,1,1,1.000,,,,,,,13,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
19,19,1970-11-25,25-119,TEX,@,MMP,W (+10),,,1,,,0,,,2,2,1.000,,,,,,,4,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
20,20,1970-11-27,25-121,TEX,,KEN,L (-1),0,,3,5,.600,0,0,,0,0,,,,5,0,1,2,6,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
21,21,1970-11-28,25-122,TEX,@,KEN,W (+23),1,,4,6,.667,0,0,,3,5,.600,,,7,,,5,11,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
22,22,1970-11-29,25-123,TEX,@,NYA,L (-16),,,5,,,0,,,4,4,1.000,,,,,,,14,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
23,23,1970-12-04,25-128,TEX,,DNR,W (+7),,,1,,,0,,,0,0,,,,,,,,2,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
24,24,1970-12-05,25-129,TEX,@,CAR,W (+4),0,14:00,4,6,.667,0,0,,3,4,.750,,,2,0,,,11,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
25,25,1970-12-06,25-130,TEX,@,PTC,W (+4),,,1,,,0,,,1,3,.333,,,,,,,3,,1971,https://www.basketball-reference.com/players/m/moorege01/gamelog/1971/aba/
