Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1975-10-31,27-212,LAL,,SEA,W (+16),0,6:00,1,4,.250,,,,0,0,,,,5,0,,0,,0,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
2,2,1975-11-04,27-216,LAL,@,KCK,L (-18),0,,1,2,.500,,,,0,0,,,,2,0,0,0,,0,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
3,3,1975-11-05,27-217,LAL,@,NOJ,L (-3),0,14:00,4,6,.667,,,,0,0,,,,3,1,0,,,1,8,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
4,4,1975-11-07,27-219,LAL,,NYK,W (+8),0,5:00,1,2,.500,,,,0,0,,,,1,0,0,0,,0,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
5,5,1975-11-08,27-220,LAL,@,GSW,L (-8),0,4:00,0,1,.000,,,,0,0,,0,0,0,0,0,0,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
6,6,1975-11-09,27-221,LAL,,KCK,W (+13),0,16:00,2,4,.500,,,,0,0,,0,4,4,1,0,0,,3,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
7,7,1975-11-12,27-224,LAL,,NOJ,W (+16),0,7:00,3,3,1.000,,,,1,1,1.000,4,1,5,0,0,,,2,7,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
8,8,1975-11-14,27-226,LAL,,PHO,W (+7),0,6:00,2,3,.667,,,,0,0,,1,1,2,0,0,0,,1,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
9,9,1975-11-16,27-228,LAL,,CHI,W (+17),0,10:00,2,6,.333,,,,0,0,,0,1,1,0,0,2,,3,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
10,10,1975-11-18,27-230,LAL,@,BUF,L (-14),0,6:00,1,2,.500,,,,0,0,,1,3,4,1,0,0,,0,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
11,11,1975-11-23,27-235,LAL,,HOU,W (+11),0,9:00,1,4,.250,,,,0,0,,1,5,6,2,0,1,,0,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
12,12,1975-11-26,27-238,LAL,@,POR,L (-17),0,4:00,0,1,.000,,,,0,0,,0,1,1,0,0,0,,2,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
13,13,1975-11-28,27-240,LAL,,BUF,W (+21),0,19:00,3,5,.600,,,,0,0,,0,3,3,1,0,0,,6,6,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
14,14,1975-11-30,27-242,LAL,,POR,W (+7),0,6:00,0,1,.000,,,,2,2,1.000,1,1,2,0,0,0,,3,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
15,15,1975-12-02,27-244,LAL,@,WSB,L (-3),0,4:00,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
16,16,1975-12-03,27-245,LAL,@,DET,W (+8),0,2:00,0,1,.000,,,,0,0,,1,0,1,1,0,0,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
17,17,1975-12-07,27-249,LAL,,WSB,W (+8),0,7:00,1,3,.333,,,,2,2,1.000,1,3,4,0,0,1,,0,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
18,18,1975-12-12,27-254,LAL,,PHI,W (+12),0,6:00,2,3,.667,,,,0,0,,0,0,0,0,0,1,,2,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
19,19,1975-12-13,27-255,LAL,@,PHO,L (-8),0,2:00,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
20,20,1975-12-14,27-256,LAL,,DET,W (+10),0,6:00,0,5,.000,,,,0,0,,0,0,0,0,0,0,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
21,21,1975-12-16,27-258,LAL,,CLE,L (-20),0,8:00,1,3,.333,,,,2,2,1.000,2,4,6,1,1,0,,0,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
22,22,1975-12-18,27-260,LAL,@,ATL,L (-16),0,4:00,2,2,1.000,,,,0,0,,1,0,1,0,0,0,,2,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
23,23,1975-12-19,27-261,LAL,@,CHI,L (-13),0,16:00,6,8,.750,,,,0,0,,2,4,6,2,2,0,,2,12,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
24,24,1975-12-21,27-263,LAL,@,CLE,L (-1),0,8:00,1,4,.250,,,,0,0,,2,0,2,0,0,0,,2,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
25,25,1975-12-23,27-265,LAL,,KCK,W (+14),0,6:00,0,3,.000,,,,2,2,1.000,1,3,4,0,0,0,,1,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
26,26,1975-12-26,27-268,LAL,,POR,W (+9),0,2:00,0,0,,,,,0,0,,0,0,0,0,0,1,,2,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
27,27,1975-12-30,27-272,LAL,,SEA,L (-12),0,2:00,0,1,.000,,,,0,0,,0,0,0,1,1,0,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
28,28,1976-01-02,27-275,LAL,,GSW,L (-8),0,4:00,0,2,.000,,,,0,0,,0,0,0,0,0,1,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
29,29,1976-01-03,27-276,LAL,@,GSW,L (-31),0,9:00,1,5,.200,,,,0,0,,0,1,1,1,0,0,,2,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
30,30,1976-01-04,27-277,LAL,,POR,W (+9),0,5:00,2,4,.500,,,,0,0,,2,0,2,0,0,0,,1,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
31,31,1976-01-06,27-279,LAL,@,BUF,L (-1),0,2:00,0,1,.000,,,,0,0,,0,0,0,0,0,0,,2,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
32,32,1976-01-07,27-280,LAL,@,BOS,L (-6),0,5:00,1,1,1.000,,,,0,0,,0,1,1,1,0,0,,2,2,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
33,33,1976-01-09,27-282,LAL,@,PHI,L (-3),0,23:00,2,11,.182,,,,0,0,,3,4,7,1,0,0,,1,4,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
34,34,1976-01-13,27-286,LAL,@,CHI,W (+2),0,1:00,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,1976,mcdanji01,https://www.basketball-reference.com/players/m/mcdanji01/gamelog/1976
