Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1971-10-15,26-078,DLC,@,UTS,L (-10),,,3,,,0,,,0,0,,,,,,,,,6,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
2,2,1971-10-16,26-079,DLC,,FLO,L (-2),1,,0,6,.000,0,0,,1,2,.500,,,3,,,,3,1,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
3,3,1971-10-20,26-083,DLC,,CAR,W (+2),1,35:00,6,10,.600,0,0,,3,3,1.000,,,11,1,,,,15,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
4,4,1971-10-21,26-084,DLC,@,VIR,L (-4),,,5,,,0,0,,2,2,1.000,,,,,,,,12,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
5,5,1971-10-22,26-085,DLC,@,VIR,W (+15),1,,6,,,0,,,0,1,.000,,,13,,,,6,12,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
6,6,1971-10-23,26-086,DLC,@,INA,W (+12),1,26:00,5,10,.500,0,0,,0,0,,,,7,1,,,4,10,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
7,7,1971-10-26,26-089,DLC,,UTS,L (-15),1,,4,13,.308,0,0,,1,1,1.000,,,11,,,,5,9,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
8,8,1971-10-29,26-092,DLC,@,DNR,L (-8),,,8,,,0,,,3,3,1.000,,,,,,,,19,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
9,9,1971-10-31,26-094,DLC,,INA,W (+17),1,26:00,4,11,.364,0,0,,2,2,1.000,,,4,1,,,5,10,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
10,10,1971-11-05,26-099,NYA,,MMP,W (+12),,,4,,,0,,,1,1,1.000,,,,,,,,9,,1972,https://www.basketball-reference.com/players/m/moorege01/gamelog/1972/aba/
