Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-19,28-030,BOS,@,SAS,L (-5),0,23:00,3,4,.750,2,2,1.000,,,9,4,0,2,,3,8,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
2,2,1977-10-22,28-033,BOS,@,HOU,L (-12),0,24:00,7,14,.500,5,14,.357,,,6,0,,2,,1,19,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
3,3,1977-10-24,28-035,BOS,@,DET,L (-15),1,23:00,1,8,.125,0,4,.000,,,10,2,,,,2,2,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
4,4,1977-10-25,28-036,BOS,,ATL,W (+7),1,34:00,6,10,.600,7,12,.583,,,14,1,,,,3,19,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
5,5,1977-10-28,28-039,BOS,@,NJN,L (-7),1,25:00,6,13,.462,0,3,.000,,,8,2,,,,5,12,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
6,6,1977-10-29,28-040,BOS,@,CLE,L (-5),0,27:00,4,9,.444,3,4,.750,4,4,8,1,0,1,1,2,11,9.5,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
7,7,1977-11-02,28-044,BOS,,CLE,L (-3),0,19:00,3,7,.429,0,0,,,,11,0,,0,,4,6,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
8,8,1977-11-04,28-046,BOS,,DEN,L (-2),0,26:00,4,8,.500,4,11,.364,4,4,8,0,2,0,1,4,12,8.6,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
9,9,1977-11-09,28-051,BOS,,SAS,L (-15),0,30:00,8,15,.533,2,4,.500,,,9,1,2,0,,3,18,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
10,10,1977-11-11,28-053,BOS,,BUF,W (+6),0,9:00,1,2,.500,1,3,.333,,,1,0,,,,3,3,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
11,11,1977-11-13,28-055,BOS,@,MIL,W (+8),1,32:00,9,14,.643,1,1,1.000,,,9,1,3,0,,3,19,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
12,12,1977-11-16,28-058,BOS,,ATL,W (+26),0,25:00,6,10,.600,1,2,.500,,,8,3,,,,,13,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
13,13,1977-11-18,28-060,BOS,,PHI,L (-9),0,22:00,4,9,.444,0,0,,,,5,3,,,,5,8,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
14,14,1977-11-19,28-061,BOS,@,BUF,L (-4),0,28:00,6,7,.857,3,4,.750,,,4,2,,,,5,15,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
15,15,1977-11-23,28-065,BOS,,HOU,W (+9),0,20:00,5,8,.625,1,1,1.000,,,5,0,,,,4,11,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
16,16,1977-11-25,28-067,BOS,,NYK,W (+2),0,33:00,5,11,.455,4,6,.667,,,7,1,,,,2,14,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
17,17,1977-11-26,28-068,BOS,@,KCK,L (-2),0,28:00,5,8,.625,0,1,.000,,,6,0,,,,4,10,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
18,18,1977-11-29,28-071,BOS,@,ATL,L (-7),0,30:00,3,7,.429,8,10,.800,,,2,2,,,,3,14,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
19,19,1977-11-30,28-072,BOS,,CHI,W (+6),0,26:00,4,7,.571,5,5,1.000,1,7,8,5,1,1,2,5,13,13.7,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
20,20,1977-12-02,28-074,BOS,,SEA,L (-22),0,19:00,3,7,.429,0,0,,2,2,4,1,,0,,1,6,,1978,wickssi01,https://www.basketball-reference.com/players/w/wickssi01/gamelog/1978
