Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
1,1,1968-10-16,26-168,ATL,,CIN,L (-15),,5:00,4,7.0,0.571,,,,0,0,,,,0.0,1.0,,1.0,8,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
2,2,1968-10-19,26-171,ATL,,MIL,W (+18),,7:00,2,3.0,0.667,,,,1,1,1.0,,,0.0,0.0,,1.0,5,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
3,3,1968-10-23,26-175,ATL,,CHI,W (+15),,17:00,1,5.0,0.2,,,,1,1,1.0,,,3.0,4.0,,3.0,3,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
4,4,1968-10-27,26-179,ATL,@,PHO,W (+23),,13:00,4,9.0,0.444,,,,0,0,,,,1.0,3.0,,3.0,8,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
5,5,1968-10-30,26-182,ATL,@,SDR,L (-11),,,0,,,,,,0,0,,,,,,,,0,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
6,6,1968-11-01,26-184,ATL,,SFW,W (+4),,6:00,0,1.0,0.0,,,,1,1,1.0,,,0.0,3.0,,2.0,1,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
7,7,1968-11-03,26-186,ATL,,BOS,L (-20),,27:00,4,13.0,0.308,,,,0,0,,,,3.0,7.0,,1.0,8,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
8,8,1968-11-08,26-191,ATL,,SDR,W (+13),,8:00,1,5.0,0.2,,,,0,0,,,,0.0,1.0,,0.0,2,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
9,9,1968-11-09,26-192,ATL,,SFW,W (+7),,5:00,0,3.0,0.0,,,,0,0,,,,0.0,1.0,,0.0,0,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
10,10,1968-11-12,26-195,ATL,@,SFW,L (-15),,25:00,5,12.0,0.417,,,,3,6,0.5,,,2.0,4.0,,1.0,13,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
11,11,1968-11-13,26-196,ATL,@,SEA,W (+29),,20:00,5,8.0,0.625,,,,2,2,1.0,,,0.0,3.0,,5.0,12,1969,lehmage01,https://www.basketball-reference.com/players/l/lehmage01/gamelog/1969
