Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,session,player,gamelog_url
1,1,1971-10-15,25-224,DET,,LAL,L (-29),,7:00,2,4.0,0.5,,,,4,4,1.0,,,1.0,0.0,,,0.0,8,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
2,2,1971-10-23,25-232,DET,@,GSW,L (-6),0.0,6:00,0,0.0,,,,,0,1,0.0,,,0.0,1.0,,,1.0,0,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
3,3,1971-11-06,25-246,DET,@,MIL,L (-28),,6:00,2,4.0,0.5,,,,2,2,1.0,,,2.0,0.0,,,1.0,6,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
4,4,1971-11-10,25-250,DET,,POR,W (+17),0.0,4:00,0,3.0,0.0,,,,0,0,,,,2.0,2.0,,,0.0,0,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
5,5,1971-11-13,25-253,DET,@,NYK,L (-22),,8:00,1,2.0,0.5,,,,3,4,0.75,,,4.0,0.0,,,0.0,5,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
6,6,1971-11-25,25-265,DET,@,PHO,L (-19),0.0,7:00,1,4.0,0.25,,,,3,4,0.75,,,1.0,1.0,,,1.0,5,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
7,7,1971-11-26,25-266,DET,@,LAL,L (-19),,9:00,4,7.0,0.571,,,,1,1,1.0,,,2.0,2.0,,,1.0,9,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
8,8,1971-11-27,25-267,DET,@,SEA,L (-22),0.0,9:00,2,4.0,0.5,,,,2,2,1.0,,,4.0,1.0,,,4.0,6,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
9,9,1971-12-07,25-277,DET,,POR,L (-1),0.0,24:00,9,14.0,0.643,,,,3,4,0.75,,,9.0,1.0,,,4.0,21,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
10,10,1971-12-09,25-279,DET,,CHI,W (+3),,5:00,1,2.0,0.5,,,,0,0,,,,0.0,0.0,,,2.0,2,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
11,11,1971-12-16,25-286,DET,,CIN,W (+6),,32:00,3,8.0,0.375,,,,9,10,0.9,,,3.0,0.0,,,,15,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
12,12,1971-12-17,25-287,DET,@,PHO,L (-21),0.0,19:00,5,8.0,0.625,,,,1,2,0.5,,,5.0,0.0,,,2.0,11,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
13,13,1971-12-18,25-288,DET,@,GSW,L (-27),0.0,17:00,2,5.0,0.4,,,,1,2,0.5,,,3.0,1.0,,,1.0,5,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
14,14,1971-12-19,25-289,DET,@,POR,L (-1),0.0,10:00,3,5.0,0.6,,,,0,0,,,,3.0,0.0,,,0.0,6,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
15,15,1971-12-21,25-291,DET,@,CHI,L (-35),0.0,14:00,1,3.0,0.333,,,,1,2,0.5,,,2.0,0.0,,,3.0,3,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
16,16,1971-12-22,25-292,DET,,CLE,W (+10),0.0,16:00,3,6.0,0.5,,,,1,2,0.5,,,5.0,0.0,,,2.0,7,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
17,17,1971-12-25,25-295,DET,,MIL,W (+2),,,0,,,,,,2,2,1.0,,,,,,,,2,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
18,18,1971-12-28,25-298,DET,,NYK,L (-19),,4:00,0,1.0,0.0,,,,1,1,1.0,,,1.0,0.0,,,1.0,1,1972,quickbo01,https://www.basketball-reference.com/players/q/quickbo01/gamelog/1972
