Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
41,41,1967-01-14,22-094,BAL,,BOS,L (-9),,,5,,,0,2,.000,,,,10,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
42,42,1967-01-16,22-096,BAL,,STL,W (+2),,,0,4,.000,1,2,.500,1,0,0,1,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
43,43,1967-01-19,22-099,BAL,,CIN,W (+4),,,6,16,.375,4,4,1.000,9,,4,16,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
44,44,1967-01-20,22-100,BAL,@,BOS,L (-12),,27:00,5,11,.455,3,3,1.000,3,1,2,13,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
45,45,1967-01-21,22-101,BAL,,LAL,W (+7),,,7,,,6,7,.857,,,,20,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
46,46,1967-01-22,22-102,BAL,@,CHI,L (-4),,29:00,6,13,.462,5,5,1.000,4,2,3,17,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
47,47,1967-01-24,22-104,BAL,@,SFW,L (-21),,21:00,7,11,.636,1,1,1.000,7,4,1,15,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
48,48,1967-01-25,22-105,BAL,@,LAL,L (-13),,,3,6,.500,2,2,1.000,8,3,3,8,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
49,49,1967-01-27,22-107,BAL,@,SFW,L (-27),,19:00,5,12,.417,1,1,1.000,4,1,4,11,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
50,50,1967-01-28,22-108,BAL,@,LAL,L (-15),,,3,4,.750,5,8,.625,3,1,1,11,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
51,51,1967-02-01,22-112,BAL,,BOS,L (-4),,,3,,,0,0,,,,,6,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
52,52,1967-02-02,22-113,BAL,,CIN,L (-6),,,2,3,.667,0,0,,1,,2,4,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
53,53,1967-02-06,22-117,BAL,,STL,W (+9),,19:00,4,8,.500,5,6,.833,1,1,3,13,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
54,54,1967-02-07,22-118,BAL,,STL,L (-13),,,1,1,1.000,1,1,1.000,2,0,4,3,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
55,55,1967-02-08,22-119,BAL,,LAL,L (-13),,,2,,,1,1,1.000,,,,5,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
56,56,1967-02-09,22-120,BAL,,BOS,W (+4),,23:00,3,7,.429,7,7,1.000,7,,3,13,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
57,57,1967-02-11,22-122,BAL,,PHI,W (+6),,,3,5,.600,0,0,,0,1,2,6,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
