Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
35,35,1978-12-25,24-072,NYK,,PHI,L (-15),1,24:00,6,11,.545,2,2,1.000,,,1,5,,0,,3,14,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
36,36,1978-12-27,24-074,NYK,@,NJN,W (+11),0,29:00,5,14,.357,3,3,1.000,,,4,7,,,,5,13,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
37,37,1978-12-28,24-075,NYK,,WSB,W (+10),0,19:00,6,9,.667,0,0,,,,3,8,,,,1,12,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
38,38,1978-12-30,24-077,NYK,,KCK,W (+4),0,28:00,3,7,.429,4,4,1.000,,,2,8,0,0,,4,10,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
39,39,1979-01-02,24-080,NYK,,PHO,L (-12),0,20:00,7,11,.636,1,1,1.000,0,2,2,6,2,0,4,4,15,11.3,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
40,40,1979-01-04,24-082,NYK,@,CLE,L (-14),0,23:00,8,16,.500,0,0,,3,2,5,6,0,0,3,3,16,10.7,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
41,41,1979-01-06,24-084,NYK,,SAS,W (+3),0,22:00,3,7,.429,7,8,.875,,,2,3,0,0,3,1,13,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
42,42,1979-01-09,24-087,NYK,,LAL,L (-12),0,28:00,3,11,.273,5,6,.833,3,2,5,8,2,0,2,2,11,11.6,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
43,43,1979-01-12,24-090,NYK,@,DEN,L (-7),0,28:00,5,12,.417,7,8,.875,0,4,4,5,1,0,3,2,17,12.1,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
44,44,1979-01-14,24-092,NYK,@,KCK,L (-20),0,23:00,3,12,.250,3,4,.750,,,2,7,0,0,,3,9,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
45,45,1979-01-16,24-094,NYK,,DET,W (+1),0,30:00,5,18,.278,3,4,.750,,,4,15,,,,2,13,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
46,46,1979-01-19,24-097,NYK,,CLE,W (+4),1,8:00,3,4,.750,0,0,,0,0,0,2,,0,,5,6,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
47,47,1979-01-21,24-099,NYK,@,MIL,L (-24),1,31:00,9,16,.563,5,8,.625,,,3,10,2,0,4,3,23,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
48,48,1979-01-23,24-101,NYK,@,LAL,L (-24),1,28:00,4,18,.222,4,4,1.000,1,0,1,15,1,0,2,4,12,9.6,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
49,49,1979-01-24,24-102,NYK,@,GSW,L (-3),1,10:00,5,8,.625,1,1,1.000,0,0,0,4,0,0,0,1,11,9.8,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
50,50,1979-01-26,24-104,NYK,@,PHO,L (-1),0,21:00,8,16,.500,0,0,,0,2,2,2,1,1,1,2,16,9.9,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
51,51,1979-01-28,24-106,NYK,@,WSB,L (-17),1,22:00,6,13,.462,3,5,.600,,,2,3,,,,2,15,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
52,52,1979-01-29,24-107,NYK,,GSW,L (-3),1,25:00,5,9,.556,0,0,,1,0,1,9,0,0,7,2,10,4.9,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
53,53,1979-01-31,24-109,NYK,@,DET,W (+22),1,40:00,9,17,.529,0,0,,,,8,4,,,,2,18,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
54,54,1979-02-02,24-111,NYK,@,PHI,W (+4),1,41:00,9,20,.450,2,2,1.000,,,2,10,,0,,4,20,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
55,55,1979-02-06,24-115,NYK,,SEA,W (+9),1,34:00,7,17,.412,3,4,.750,2,5,7,5,,,,3,17,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
