Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1978-10-13,29-174,NYK,,HOU,L (-4),0,31:00,6,15,.400,0,0,,,,4,1,1,0,,2,12,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
2,2,1978-10-17,29-178,NYK,,SEA,L (-11),0,17:00,6,8,.750,5,5,1.000,0,0,0,1,,,,3,17,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
3,3,1978-10-20,29-181,NYK,@,MIL,W (+10),0,28:00,8,15,.533,5,5,1.000,,,3,0,1,0,2,2,21,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
4,4,1978-10-21,29-182,NYK,,NJN,W (+1),0,29:00,7,13,.538,10,16,.625,,,10,1,,,,,24,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
5,5,1978-10-24,29-185,NYK,,ATL,W (+4),0,24:00,3,8,.375,5,6,.833,,,3,1,,0,,5,11,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
6,6,1978-10-25,29-186,NYK,@,HOU,L (-5),1,39:00,11,22,.500,2,4,.500,,,12,2,0,0,,4,24,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
7,7,1978-10-26,29-187,NYK,@,NOJ,L (-12),1,46:00,20,28,.714,6,8,.750,,,10,3,,,,6,46,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
8,8,1978-10-28,29-189,NYK,,IND,W (+5),1,41:00,11,21,.524,10,11,.909,,,12,4,,,,5,32,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
9,9,1978-10-31,29-192,NYK,@,PHO,L (-12),1,42:00,9,18,.500,3,7,.429,1,2,3,3,1,3,4,2,21,12.1,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
10,10,1978-11-02,29-194,NYK,@,SDC,W (+5),1,41:00,12,22,.545,3,4,.750,,,7,3,0,1,3,4,27,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
11,11,1978-11-03,29-195,NYK,@,LAL,L (-23),1,37:00,14,28,.500,5,7,.714,2,3,5,3,0,0,4,5,33,16.6,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
12,12,1978-11-05,29-197,NYK,@,POR,L (-15),1,31:00,6,15,.400,6,7,.857,3,4,7,4,0,0,2,3,18,12.4,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
13,13,1978-11-08,29-200,NYK,@,SEA,W (+4),1,23:00,4,12,.333,0,0,,2,3,5,1,,,,3,8,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
14,14,1978-11-09,29-201,NYK,@,DEN,L (-7),0,19:00,4,8,.500,3,3,1.000,2,3,5,1,0,1,0,3,11,9.5,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
15,15,1978-11-11,29-203,NYK,,BOS,W (+13),0,23:00,1,10,.100,3,7,.429,4,4,8,0,0,0,0,4,5,-0.8,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
16,16,1978-11-14,29-206,NYK,,DEN,W (+6),0,30:00,6,15,.400,1,2,.500,1,3,4,2,0,0,2,2,13,4.7,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
17,17,1978-11-16,29-208,NYK,@,CLE,W (+4),0,21:00,2,5,.400,0,0,,0,4,4,0,0,2,1,0,4,2.9,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
18,18,1978-11-18,29-210,NYK,,MIL,W (+2),0,18:00,2,8,.250,0,0,,,,4,1,0,1,,3,4,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
19,19,1978-11-21,29-213,NYK,,DET,W (+17),1,40:00,12,22,.545,3,5,.600,,,13,1,0,1,,4,27,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
20,20,1978-11-24,29-216,NYK,@,BOS,L (-11),1,46:00,14,20,.700,1,3,.333,1,6,7,4,0,1,5,1,29,20.4,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
21,21,1978-11-25,29-217,NYK,,NOJ,W (+7),1,45:00,17,25,.680,1,2,.500,,,13,1,,,,5,35,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
22,22,1978-11-28,29-220,NYK,,WSB,L (-27),1,23:00,8,18,.444,2,2,1.000,,,2,1,,,,4,18,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
23,23,1978-11-29,29-221,NYK,@,IND,L (-2),1,40:00,6,18,.333,2,4,.500,,,16,5,,,,0,14,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
24,24,1978-12-02,29-224,NYK,,POR,W (+34),1,31:00,8,14,.571,1,3,.333,1,7,8,0,1,3,3,0,17,12.5,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
25,25,1978-12-05,29-227,NYK,,KCK,L (-13),1,40:00,8,18,.444,3,4,.750,,,4,2,0,,,2,19,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
26,26,1978-12-09,29-231,NYK,,CHI,L (-5),1,26:00,5,12,.417,1,1,1.000,2,8,10,2,0,0,2,6,11,5.4,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
27,27,1978-12-12,29-234,NYK,,SDC,L (-2),1,33:00,8,15,.533,3,3,1.000,,,1,1,1,0,6,5,19,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
28,28,1978-12-13,29-235,NYK,@,SAS,L (-30),1,27:00,3,14,.214,1,1,1.000,,,4,0,1,0,1,4,7,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
29,29,1978-12-19,29-241,NYK,,IND,W (+28),0,16:00,3,7,.429,2,3,.667,,,4,2,,2,,3,8,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
30,30,1978-12-20,29-242,NYK,@,ATL,L (-9),0,36:00,10,15,.667,7,8,.875,,,6,0,,4,,3,27,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
31,31,1978-12-23,29-245,NYK,@,HOU,L (-22),0,21:00,4,9,.444,4,5,.800,,,1,1,0,,,4,12,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
32,32,1978-12-25,29-247,NYK,,PHI,L (-15),0,21:00,3,9,.333,4,4,1.000,,,6,0,,2,,2,10,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
33,33,1979-01-02,29-255,NYK,,PHO,L (-12),0,14:00,3,5,.600,4,4,1.000,1,1,2,0,0,0,1,5,10,5.7,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
34,34,1979-01-04,29-257,NYK,@,CLE,L (-14),0,24:00,5,17,.294,1,2,.500,2,1,3,5,0,0,3,1,11,2.5,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
35,35,1979-01-09,29-262,NOJ,,SDC,L (-7),0,41:00,11,24,.458,5,6,.833,,,10,3,0,1,0,2,27,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
36,36,1979-01-10,29-263,NOJ,@,PHI,L (-11),1,40:00,11,19,.579,5,6,.833,,,8,1,,,,4,27,,1979,haywosp01,https://www.basketball-reference.com/players/h/haywosp01/gamelog/1979
