Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-19,20-281,PHI,,DET,W (+17),1,20:00,2,4,.500,2,2,1.000,,,8,1,,,,5,6,,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
2,2,1977-10-22,20-284,PHI,,NOJ,L (-1),1,31:00,3,6,.500,4,4,1.000,,,11,3,,,,4,10,,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
3,3,1977-10-25,20-287,PHI,,KCK,W (+8),1,30:00,1,3,.333,4,6,.667,,,8,2,0,2,,4,6,,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
4,4,1977-10-28,20-290,PHI,@,POR,L (-4),1,35:00,6,9,.667,1,2,.500,0,12,12,3,2,6,0,5,13,18.6,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
5,5,1977-10-29,20-291,PHI,@,GSW,L (-3),1,35:00,0,3,.000,0,0,,0,12,12,1,0,1,0,4,0,1.3,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
6,6,1977-11-02,20-295,PHI,,CHI,L (-1),1,35:00,5,7,.714,2,2,1.000,2,9,11,3,0,1,5,5,12,9.0,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
7,7,1977-11-04,20-297,PHI,@,NJN,W (+3),1,30:00,5,6,.833,7,10,.700,,,7,2,,,,5,17,,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
8,8,1977-11-05,20-298,PHI,,DEN,W (+31),1,21:00,8,9,.889,0,0,,,,11,1,,,2,3,16,,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
9,9,1977-11-09,20-302,PHI,,NJN,W (+23),1,26:00,7,12,.583,2,8,.250,,,13,0,,,,2,16,,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
10,10,1977-11-25,20-318,PHI,,GSW,W (+6),0,7:00,1,1,1.000,2,2,1.000,1,1,2,0,2,0,0,0,4,6.7,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
11,11,1977-11-26,20-319,PHI,@,BUF,W (+5),0,20:00,6,9,.667,5,5,1.000,,,8,0,,,,4,17,,1978,dawkida01,https://www.basketball-reference.com/players/d/dawkida01/gamelog/1978
