Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
1,1,1967-10-17,25-166,CHI,,LAL,L (-2),,14:00,0,0,,,,,3,4,0.75,,,4,0,,2,3,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
2,2,1967-10-19,25-168,CHI,,SFW,L (-10),,36:00,3,9,0.333,,,,0,0,,,,17,2,,3,6,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
3,3,1967-10-20,25-169,CHI,,STL,L (-27),,24:00,4,10,0.4,,,,1,3,0.333,,,11,1,,5,9,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
4,4,1967-10-21,25-170,CHI,@,CIN,L (-2),,26:00,0,5,0.0,,,,2,3,0.667,,,6,3,,2,2,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
5,5,1967-10-25,25-174,CHI,@,DET,L (-8),,10:00,0,3,0.0,,,,1,2,0.5,,,2,0,,2,1,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
6,6,1967-10-27,25-176,CHI,@,LAL,L (-8),,24:00,0,3,0.0,,,,0,1,0.0,,,7,1,,3,0,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
7,7,1967-10-29,25-178,CHI,@,SFW,L (-20),,39:00,7,9,0.778,,,,3,6,0.5,,,7,4,,4,17,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
8,8,1967-11-09,25-189,CHI,,BOS,L (-14),,12:00,2,2,1.0,,,,2,3,0.667,,,4,0,,1,6,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
9,9,1967-11-12,25-192,CHI,@,LAL,L (-1),,31:00,1,6,0.167,,,,1,3,0.333,,,16,4,,4,3,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
10,10,1967-11-15,25-195,CHI,@,LAL,L (-9),,35:00,4,9,0.444,,,,2,5,0.4,,,10,1,,2,10,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
11,11,1967-11-16,25-196,CHI,@,SDR,L (-8),,17:00,3,6,0.5,,,,1,1,1.0,,,5,0,,1,7,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
12,12,1967-11-17,25-197,CHI,@,SFW,L (-2),,13:00,0,5,0.0,,,,1,1,1.0,,,0,1,,0,1,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
13,13,1967-11-22,25-202,CHI,@,BAL,W (+5),,8:00,0,1,0.0,,,,0,0,,,,1,0,,2,0,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
14,14,1967-11-25,25-205,CHI,@,PHI,W (+5),,16:00,0,3,0.0,,,,0,1,0.0,,,3,1,,4,0,1968,hardire01,https://www.basketball-reference.com/players/h/hardire01/gamelog/1968
