Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-18,26-150,CLE,,CHI,L (-3),1,20:00,2,3,.667,0,0,,0,1,1,2,0,0,1,3,4,2.2,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
2,2,1977-10-20,26-152,CLE,@,NOJ,W (+3),1,26:00,5,8,.625,3,3,1.000,1,4,5,2,2,0,0,4,13,13.1,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
3,3,1977-10-22,26-154,CLE,@,ATL,L (-6),1,26:00,1,2,.500,8,9,.889,0,1,1,1,2,0,3,0,10,8.6,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
4,4,1977-10-25,26-157,CLE,@,NYK,W (+5),1,31:00,2,8,.250,0,2,.000,0,3,3,0,8,0,5,5,4,0.3,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
5,5,1977-10-27,26-159,CLE,,KCK,L (-15),1,33:00,4,5,.800,1,3,.333,1,4,5,2,2,1,3,3,9,8.1,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
6,6,1977-10-29,26-161,CLE,,BOS,W (+5),1,38:00,3,6,.500,9,11,.818,2,6,8,4,0,0,3,1,15,13.8,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
7,7,1977-11-01,26-164,CLE,,DEN,W (+17),1,30:00,0,7,.000,1,2,.500,1,1,2,3,2,1,1,2,1,-0.3,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
8,8,1977-11-02,26-165,CLE,@,BOS,W (+3),1,33:00,5,10,.500,4,5,.800,0,0,0,4,,0,,3,14,,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
9,9,1977-11-03,26-166,CLE,,MIL,W (+9),1,36:00,5,13,.385,2,4,.500,1,2,3,5,2,1,4,2,12,6.8,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
10,10,1977-11-05,26-168,CLE,,NJN,W (+12),1,39:00,4,7,.571,1,3,.333,0,8,8,13,7,1,3,3,9,19.9,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
11,11,1977-11-11,26-174,CLE,@,MIL,W (+6),1,29:00,3,13,.231,0,0,,1,5,6,10,4,1,3,5,6,7.0,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
12,12,1977-11-15,26-178,CLE,@,LAL,W (+7),1,33:00,5,9,.556,3,4,.750,3,2,5,5,3,0,4,1,13,13.1,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
13,13,1977-11-18,26-181,CLE,@,GSW,L (-4),1,37:00,5,14,.357,5,6,.833,0,7,7,8,3,0,2,4,15,13.9,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
14,14,1977-11-19,26-182,CLE,@,POR,L (-42),1,28:00,3,8,.375,0,0,,2,2,4,0,1,1,2,2,6,2.5,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
15,15,1977-11-20,26-183,CLE,@,SEA,W (+7),1,40:00,7,13,.538,6,11,.545,2,4,6,7,2,0,1,5,20,18.2,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
16,16,1977-11-24,26-187,CLE,,PHO,W (+15),1,43:00,4,12,.333,2,2,1.000,0,6,6,11,2,1,5,2,10,9.6,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
17,17,1977-11-26,26-189,CLE,@,DET,W (+18),1,34:00,4,9,.444,4,4,1.000,0,4,4,10,0,0,2,3,12,12.3,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
18,18,1977-11-29,26-192,CLE,,LAL,W (+17),1,33:00,9,13,.692,2,2,1.000,0,2,2,6,6,0,2,4,20,21.7,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
19,19,1977-12-01,26-194,CLE,,HOU,L (-13),1,34:00,4,12,.333,0,0,,2,1,3,3,1,0,0,3,8,4.8,1978,walkefo01,https://www.basketball-reference.com/players/w/walkefo01/gamelog/1978
