Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
56,56,1974-02-06,27-271,PHO,@,CAP,L (-8),0,22:00,6,8,.750,2,4,.500,0,5,5,2,0,0,2,14,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
57,57,1974-02-08,27-273,PHO,,DET,L (-5),0,16:00,4,6,.667,0,0,,2,7,9,1,0,2,2,8,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
58,58,1974-02-10,27-275,PHO,,GSW,L (-16),0,24:00,9,15,.600,3,6,.500,5,6,11,0,0,2,3,21,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
59,59,1974-02-12,27-277,PHO,@,POR,L (-9),0,14:00,2,6,.333,3,5,.600,5,3,8,3,0,0,2,7,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
60,60,1974-02-16,27-281,PHO,,ATL,W (+1),0,6:00,0,1,.000,0,0,,0,1,1,1,0,0,2,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
61,61,1974-02-17,27-282,PHO,,POR,W (+12),0,26:00,5,7,.714,5,7,.714,1,1,2,5,0,1,5,15,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
62,62,1974-02-19,27-284,PHO,@,CHI,L (-34),0,21:00,3,4,.750,2,2,1.000,0,3,3,3,0,0,5,8,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
63,63,1974-02-22,27-287,PHO,@,KCO,L (-15),0,19:00,2,3,.667,2,2,1.000,1,4,5,1,0,0,3,6,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
64,64,1974-02-23,27-288,PHO,@,DET,L (-12),0,15:00,0,1,.000,0,2,.000,0,5,5,1,0,0,6,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
65,65,1974-02-24,27-289,PHO,@,CLE,L (-4),0,9:00,0,2,.000,2,2,1.000,0,2,2,0,0,0,5,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
66,66,1974-02-26,27-291,PHO,@,GSW,L (-20),0,23:00,3,8,.375,0,0,,3,4,7,4,0,1,2,6,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
67,67,1974-02-27,27-292,PHO,,CHI,L (-12),0,12:00,0,4,.000,0,0,,1,2,3,1,0,0,1,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
68,68,1974-03-01,27-294,PHO,@,HOU,L (-6),0,6:00,0,1,.000,0,0,,0,1,1,0,0,0,0,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
69,69,1974-03-03,27-296,PHO,,KCO,W (+13),0,17:00,2,4,.500,0,0,,1,3,4,2,0,0,2,4,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
70,70,1974-03-05,27-298,PHO,,CHI,L (-20),1,13:00,1,3,.333,0,0,,1,2,3,0,1,0,3,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
71,71,1974-03-07,27-300,PHO,,BOS,L (-2),0,21:00,5,9,.556,3,4,.750,0,4,4,1,0,0,2,13,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
72,72,1974-03-09,27-302,PHO,,CLE,W (+9),0,30:00,1,5,.200,0,2,.000,2,9,11,3,1,1,6,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
73,73,1974-03-11,27-304,PHO,@,MIL,L (-13),0,15:00,2,7,.286,2,2,1.000,3,3,6,2,0,0,4,6,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
74,74,1974-03-12,27-305,PHO,@,BUF,L (-30),0,16:00,1,6,.167,0,0,,2,4,6,1,0,1,2,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
75,75,1974-03-13,27-306,PHO,@,BOS,L (-7),0,19:00,1,2,.500,4,5,.800,0,9,9,2,0,0,3,6,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
76,76,1974-03-15,27-308,PHO,,PHI,L (-7),0,17:00,1,1,1.000,0,0,,0,3,3,5,0,0,4,2,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
77,77,1974-03-17,27-310,PHO,@,SEA,W (+25),0,17:00,2,4,.500,1,1,1.000,0,1,1,2,0,0,6,5,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
78,78,1974-03-20,27-313,PHO,,NYK,L (-2),0,6:00,0,0,,0,0,,0,1,1,0,0,0,1,0,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
79,79,1974-03-22,27-315,PHO,,BUF,W (+7),0,21:00,4,9,.444,6,6,1.000,1,3,4,1,0,0,3,14,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
80,80,1974-03-24,27-317,PHO,,GSW,W (+13),0,24:00,5,12,.417,0,0,,4,7,11,1,0,1,2,10,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
81,81,1974-03-27,27-320,PHO,@,SEA,L (-4),0,28:00,6,9,.667,2,3,.667,1,3,4,3,0,0,5,14,1974,chrisbo01,https://www.basketball-reference.com/players/c/chrisbo01/gamelog/1974
