Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
46,46,1977-01-27,25-055,CLE,,NYK,W (+2),1,42:00,1,6,.167,4,8,.500,4,8,12,1,2,0,3,6,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
47,47,1977-02-01,25-060,CLE,@,SAS,L (-5),1,37:00,5,8,.625,0,0,,1,10,11,2,2,1,4,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
48,48,1977-02-04,25-063,CLE,@,KCK,W (+1),1,37:00,3,7,.429,1,3,.333,4,7,11,5,1,0,3,7,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
49,49,1977-02-06,25-065,CLE,,NYN,L (-4),1,26:00,1,4,.250,3,5,.600,2,6,8,3,1,4,4,5,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
50,50,1977-02-08,25-067,CLE,@,HOU,L (-16),1,30:00,1,5,.200,0,0,,2,3,5,0,1,3,3,2,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
51,51,1977-02-10,25-069,CLE,,IND,W (+15),1,28:00,6,11,.545,6,9,.667,4,5,9,2,1,2,2,18,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
52,52,1977-02-11,25-070,CLE,@,DET,L (-7),1,40:00,2,8,.250,0,0,,5,8,13,4,1,4,1,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
53,53,1977-02-17,25-076,CLE,@,BUF,L (-9),0,7:00,1,2,.500,0,0,,1,1,2,0,1,0,2,2,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
54,54,1977-02-19,25-078,CLE,,PHO,W (+4),0,23:00,1,3,.333,2,2,1.000,0,0,0,2,0,0,2,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
55,55,1977-02-20,25-079,CLE,@,PHI,L (-1),0,25:00,2,6,.333,0,0,,5,7,12,1,4,4,4,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
56,56,1977-02-24,25-083,CLE,,GSW,W (+13),1,27:00,1,6,.167,4,7,.571,1,3,4,1,0,0,2,6,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
57,57,1977-02-26,25-085,CLE,,CHI,L (-6),1,32:00,5,9,.556,2,4,.500,3,5,8,4,1,2,2,12,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
58,58,1977-03-02,25-089,CLE,@,SEA,W (+20),1,34:00,2,5,.400,0,0,,2,10,12,2,1,1,2,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
59,59,1977-03-04,25-091,CLE,@,POR,W (+12),1,30:00,3,7,.429,0,0,,2,5,7,3,1,0,3,6,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
60,60,1977-03-06,25-093,CLE,@,LAL,L (-5),1,34:00,3,11,.273,0,0,,5,6,11,1,1,1,2,6,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
61,61,1977-03-08,25-095,CLE,@,GSW,L (-10),1,30:00,5,9,.556,0,1,.000,7,4,11,2,1,1,6,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
62,62,1977-03-10,25-097,CLE,@,SAS,L (-6),1,37:00,6,10,.600,0,2,.000,3,7,10,2,0,1,0,12,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
63,63,1977-03-13,25-100,CLE,@,ATL,W (+2),1,35:00,4,9,.444,2,5,.400,5,7,12,2,0,0,3,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
64,64,1977-03-15,25-102,CLE,,PHI,L (-31),1,27:00,4,10,.400,0,2,.000,5,2,7,2,0,1,2,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
65,65,1977-03-17,25-104,CLE,,HOU,L (-1),1,32:00,4,11,.364,0,2,.000,4,6,10,3,0,1,2,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
66,66,1977-03-18,25-105,CLE,@,NYN,W (+13),1,44:00,7,12,.583,1,5,.200,4,5,9,2,0,0,4,15,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
67,67,1977-03-19,25-106,CLE,,SAS,W (+5),1,39:00,4,9,.444,0,0,,1,6,7,4,1,2,2,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
68,68,1977-03-20,25-107,CLE,,BUF,W (+7),1,39:00,6,13,.462,1,1,1.000,4,4,8,4,1,0,4,13,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
69,69,1977-03-22,25-109,CLE,,SEA,W (+4),1,35:00,5,8,.625,5,8,.625,7,8,15,1,0,1,2,15,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
70,70,1977-03-23,25-110,CLE,@,WSB,L (-5),1,46:00,7,15,.467,0,0,,2,9,11,4,0,2,2,14,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
71,71,1977-03-24,25-111,CLE,,NOJ,L (-5),1,36:00,3,9,.333,1,2,.500,1,6,7,2,2,0,5,7,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
72,72,1977-03-26,25-113,CLE,,ATL,W (+5),1,38:00,3,8,.375,1,2,.500,3,4,7,2,2,0,4,7,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
73,73,1977-03-27,25-114,CLE,@,CHI,L (-5),1,36:00,4,9,.444,2,2,1.000,5,9,14,5,1,1,2,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
74,74,1977-03-29,25-116,CLE,,BOS,W (+28),1,31:00,3,5,.600,2,4,.500,3,7,10,2,0,2,1,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
75,75,1977-04-01,25-119,CLE,@,NOJ,W (+9),1,34:00,8,13,.615,0,2,.000,8,9,17,3,5,0,1,16,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
76,76,1977-04-02,25-120,CLE,@,HOU,L (-13),1,38:00,4,9,.444,0,3,.000,3,5,8,3,0,0,5,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
77,77,1977-04-03,25-121,CLE,,KCK,W (+6),1,23:00,3,6,.500,3,3,1.000,6,4,10,1,1,0,2,9,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
78,78,1977-04-05,25-123,CLE,,WSB,L (-6),1,40:00,4,6,.667,0,0,,1,5,6,2,0,0,4,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
79,79,1977-04-07,25-125,CLE,,DEN,W (+14),1,29:00,3,5,.600,2,3,.667,2,7,9,0,1,2,2,8,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
80,80,1977-04-09,25-127,CLE,,DET,L (-7),1,33:00,4,8,.500,2,4,.500,4,1,5,1,1,1,2,10,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
81,81,1977-04-10,25-128,CLE,@,BOS,L (-10),1,42:00,1,4,.250,2,5,.400,1,7,8,2,1,1,5,4,1977,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1977
