Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
1,1,1970-10-14,27-232,BAL,,SDR,W (+18),,25:00,7,14,.500,,,,6,7,.857,,,10,0,,2,20,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
2,2,1970-10-17,27-235,BAL,,LAL,W (+2),,,3,,,,,,1,1,1.000,,,,,,3,7,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
3,3,1970-10-20,27-238,BAL,,SFW,L (-20),0,7:00,1,3,.333,,,,0,0,,,,4,0,,0,2,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
4,4,1970-10-21,27-239,BAL,@,CIN,W (+12),,,2,3,.667,,,,1,2,.500,,,4,,,3,5,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
5,5,1970-10-23,27-241,BAL,,NYK,W (+6),,3:00,0,1,.000,,,,0,0,,,,0,0,,0,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
6,6,1970-10-28,27-246,BAL,,DET,L (-6),,,0,,,,,,0,0,,,,,,,1,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
7,7,1970-10-30,27-248,BAL,@,PHI,W (+13),,24:00,3,7,.429,,,,3,4,.750,,,7,1,,5,9,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
8,8,1970-10-31,27-249,BAL,,PHO,W (+3),0,15:00,2,6,.333,,,,2,4,.500,,,5,0,,1,6,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
9,9,1970-11-04,27-253,BAL,@,SFW,L (-11),0,22:00,3,8,.375,,,,1,2,.500,,,8,0,,2,7,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
10,10,1970-11-06,27-255,BAL,@,SDR,W (+7),,10:00,4,7,.571,,,,0,0,,,,3,0,,2,8,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
11,11,1970-11-11,27-260,BAL,,PHI,L (-12),,13:00,3,7,.429,,,,0,0,,,,1,0,,3,6,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
12,12,1970-11-12,27-261,BAL,@,NYK,W (+2),,5:00,0,0,,,,,2,2,1.000,,,2,0,,2,2,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
13,13,1970-11-14,27-263,BAL,,BOS,W (+21),,,1,,,,,,0,0,,,,,,,,2,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
14,14,1970-11-18,27-267,BAL,@,CLE,W (+13),,7:00,2,3,.667,,,,0,0,,,,1,1,,0,4,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
15,15,1970-11-20,27-269,BAL,,PHO,W (+11),0,1:00,1,1,1.000,,,,1,1,1.000,,,0,0,,0,3,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
16,16,1970-11-21,27-270,BAL,@,ATL,L (-27),0,5:00,1,3,.333,,,,1,1,1.000,,,3,0,,0,3,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
17,17,1970-11-24,27-273,BAL,,POR,W (+52),0,16:00,5,7,.714,,,,1,1,1.000,,,3,1,,1,11,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
18,18,1970-11-27,27-276,BAL,@,BOS,L (-46),,15:00,2,8,.250,,,,0,0,,,,4,0,,0,4,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
19,19,1970-11-28,27-277,BAL,,CHI,W (+8),0,1:00,0,0,,,,,0,0,,,,0,0,,0,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
20,20,1970-12-04,27-283,BAL,,SEA,W (+15),,2:00,1,3,.333,,,,2,2,1.000,,,0,0,,0,4,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
21,21,1970-12-09,27-288,BAL,,MIL,W (+30),0,5:00,0,0,,,,,0,0,,,,0,1,,1,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
22,22,1970-12-12,27-291,BAL,,SFW,W (+23),0,5:00,0,0,,,,,0,0,,,,0,0,,0,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
23,23,1970-12-15,27-294,BAL,@,CHI,L (-18),0,5:00,0,1,.000,,,,2,2,1.000,,,3,0,,2,2,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
24,24,1970-12-25,27-304,BAL,,CHI,W (+16),0,5:00,1,1,1.000,,,,0,0,,,,2,0,,1,2,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
25,25,1970-12-30,27-309,BAL,,BUF,W (+16),,2:00,0,0,,,,,0,0,,,,0,0,,0,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
26,26,1971-01-01,27-311,BAL,@,CLE,W (+23),,5:00,1,3,.333,,,,0,0,,,,0,1,,0,2,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
27,27,1971-01-10,27-320,BAL,@,MIL,L (-52),,10:00,3,4,.750,,,,0,0,,,,1,1,,0,6,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
28,28,1971-01-29,27-339,BAL,,CIN,W (+27),,22:00,5,14,.357,,,,2,2,1.000,,,4,1,,4,12,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
29,29,1971-01-31,27-341,BAL,,NYK,L (-30),,5:00,0,1,.000,,,,0,0,,,,0,0,,0,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
30,30,1971-02-02,27-343,BAL,@,DET,L (-3),,,0,,,,,,0,0,,,,,,,0,0,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
31,31,1971-02-03,27-344,BAL,,CHI,L (-22),0,9:00,1,3,.333,,,,0,0,,,,2,0,,0,2,1971,tuckeal01,https://www.basketball-reference.com/players/t/tuckeal01/gamelog/1971
