Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
19,19,1972-11-15,27-109,SDA,@,MMT,L (-25),,,5,,,0,,,2,6,.333,,,,,,,,,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
20,20,1972-11-17,27-111,SDA,@,NYA,L (-10),,,2,,,0,,,1,1,1.000,,,,,,,,,5,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
21,21,1972-11-18,27-112,SDA,@,KEN,W (+8),1,39:00,9,14,.643,0,0,,1,1,1.000,,,12,3,,,4,4,19,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
22,22,1972-11-19,27-113,SDA,,DNR,W (+6),,,6,,,0,,,3,4,.750,,,,,,,,,15,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
23,23,1972-11-21,27-115,SDA,,DLC,W (+4),,,5,,,0,,,2,4,.500,,,,,,,,,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
24,24,1972-11-24,27-118,SDA,@,DNR,L (-19),,,4,,,0,,,1,3,.333,,,,,,,,,9,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
25,25,1972-11-25,27-119,SDA,@,INA,L (-8),1,39:00,9,20,.450,0,0,,0,0,,,,19,1,,,,3,18,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
26,26,1972-11-26,27-120,SDA,,NYA,W (+15),,,4,,,0,,,2,3,.667,,,,,,,,,10,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
27,27,1972-11-28,27-122,SDA,,KEN,L (-22),,,6,,,0,,,1,1,1.000,,,,,,,,,13,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
28,28,1972-11-30,27-124,SDA,@,CAR,L (-13),1,20:00,2,6,.333,0,0,,1,1,1.000,,,5,0,,,,,5,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
29,29,1972-12-02,27-126,SDA,@,VIR,L (-4),,,2,,,0,,,1,2,.500,,,,,,,,,5,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
30,30,1972-12-03,27-127,SDA,@,KEN,L (-18),1,24:00,3,6,.500,0,0,,0,0,,,,7,0,,,5,6,6,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
31,31,1972-12-06,27-130,SDA,@,INA,L (-12),1,12:00,2,4,.500,0,0,,1,1,1.000,,,5,1,,,,4,5,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
32,32,1972-12-07,27-131,SDA,@,DNR,L (-13),,,3,,,0,,,6,8,.750,,,,,,,,,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
33,33,1972-12-08,27-132,SDA,@,UTS,L (-33),1,24:00,3,8,.375,0,,,1,1,1.000,,,11,1,,,5,,7,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
34,34,1972-12-12,27-136,SDA,,DNR,L (-7),,,9,,,0,,,1,4,.250,,,,,,,,,19,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
