Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Bill Gabor,1950,1955,G-F,5-11,170,"May 13, 1922",Syracuse,https://www.basketball-reference.com/players/g/gaborbi01.html
Wenyen Gabriel,2020,2023,F,6-9,205,"March 26, 1997",Kentucky,https://www.basketball-reference.com/players/g/gabriwe01.html
Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978",UCLA,https://www.basketball-reference.com/players/g/gadzuda01.html
Daniel Gafford,2020,2023,F,6-10,234,"October 1, 1998",Arkansas,https://www.basketball-reference.com/players/g/gaffoda01.html
Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield,https://www.basketball-reference.com/players/g/gaide01.html
Elmer Gainer,1948,1950,F-C,6-6,195,"November 22, 1918",DePaul,https://www.basketball-reference.com/players/g/gaineel01.html
Bill Gaines,1969,1969,G,6-4,185,"March 10, 1946",Texas A&M University-Commerce,https://www.basketball-reference.com/players/g/gainebi01.html
Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965","UCLA, Loyola Marymount",https://www.basketball-reference.com/players/g/gaineco01.html
Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",Louisville,https://www.basketball-reference.com/players/g/gainere01.html
Smokey Gaines,1968,1968,G,6-1,170,"February 27, 1940",LeMoyne-Owen College,https://www.basketball-reference.com/players/g/gaineda01.html
Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",Georgia,https://www.basketball-reference.com/players/g/gainesu01.html
Mike Gale,1972,1982,G,6-4,185,"July 18, 1950",Elizabeth City State University,https://www.basketball-reference.com/players/g/galemi01.html
Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969",Creighton,https://www.basketball-reference.com/players/g/gallach01.html
Harry Gallatin*,1949,1958,F-C,6-6,210,"April 26, 1927",Truman State University,https://www.basketball-reference.com/players/g/gallaha01.html
Gene Gallette,1947,1947,F,6-2,205,"February 22, 1919",,https://www.basketball-reference.com/players/g/gillege01.html
Danilo Gallinari,2009,2022,F,6-10,233,"August 8, 1988",,https://www.basketball-reference.com/players/g/gallida01.html
Langston Galloway,2015,2022,G,6-1,200,"December 9, 1991",Saint Joseph's,https://www.basketball-reference.com/players/g/gallola01.html
Dave Gambee,1959,1970,F,6-6,215,"April 16, 1937",Oregon State,https://www.basketball-reference.com/players/g/gambeda01.html
Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965",Iowa,https://www.basketball-reference.com/players/g/gamblke01.html
Bob Gantt,1947,1947,F-C,6-4,205,"June 22, 1922",Duke,https://www.basketball-reference.com/players/g/ganttbo01.html
Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",,https://www.basketball-reference.com/players/g/garbajo01.html
Rubén Garcés,2001,2001,F,6-9,245,"October 17, 1973",Providence,https://www.basketball-reference.com/players/g/garceru01.html
Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",,https://www.basketball-reference.com/players/g/garcial01.html
Francisco García,2006,2015,F-G,6-7,195,"December 31, 1981",Louisville,https://www.basketball-reference.com/players/g/garcifr01.html
Chuck Gardner,1968,1968,F,6-8,205,"September 30, 1944",Colorado,https://www.basketball-reference.com/players/g/gardnch01.html
Earl Gardner,1949,1949,F,6-3,195,"September 18, 1923",DePauw University,https://www.basketball-reference.com/players/g/gardnea01.html
Ken Gardner,1976,1976,F,6-5,205,"September 27, 1949",Utah,https://www.basketball-reference.com/players/g/gardnke01.html
Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",Missouri,https://www.basketball-reference.com/players/g/gardnth01.html
Vern Gardner,1950,1952,F-C,6-5,200,"May 14, 1925",Utah,https://www.basketball-reference.com/players/g/gardnve01.html
Jack Garfinkel,1947,1949,G,6-0,190,"June 13, 1918",St. John's,https://www.basketball-reference.com/players/g/garfija01.html
Patricio Garino,2017,2017,G-F,6-6,210,"May 17, 1993",George Washington,https://www.basketball-reference.com/players/g/garinpa01.html
Darius Garland,2020,2023,G,6-1,192,"January 26, 2000",Vanderbilt,https://www.basketball-reference.com/players/g/garlada01.html
Gary Garland,1980,1980,G,6-4,180,"October 12, 1957",DePaul,https://www.basketball-reference.com/players/g/garlaga01.html
Winston Garland,1988,1995,G,6-2,170,"December 19, 1964",Missouri State,https://www.basketball-reference.com/players/g/garlawi01.html
Dick Garmaker,1956,1961,G-F,6-3,200,"October 29, 1932",Minnesota,https://www.basketball-reference.com/players/g/garmadi01.html
Bill Garner,1968,1968,C,6-10,220,"June 17, 1940",University of Portland,https://www.basketball-reference.com/players/g/garnebi01.html
Chris Garner,1998,2001,G,5-10,156,"February 2, 1975",Memphis,https://www.basketball-reference.com/players/g/garnech01.html
Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960",Wyoming,https://www.basketball-reference.com/players/g/garnebi02.html
