Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Guerschon Yabusele,2018,2019,F,6-8,260,"December 17, 1995",,https://www.basketball-reference.com/players/y/yabusgu01.html
Vincent Yarbrough,2003,2003,G-F,6-7,210,"March 21, 1981",Tennessee,https://www.basketball-reference.com/players/y/yarbrvi01.html
George Yardley*,1954,1960,F-G,6-5,190,"November 3, 1928",Stanford,https://www.basketball-reference.com/players/y/yardlge01.html
Barry Yates,1972,1972,F,6-7,215,"January 30, 1946",Maryland,https://www.basketball-reference.com/players/y/yatesba01.html
Wayne Yates,1962,1962,C,6-8,235,"November 7, 1937",Memphis,https://www.basketball-reference.com/players/y/yateswa01.html
Charlie Yelverton,1972,1972,G-F,6-2,190,"December 5, 1948",Fordham,https://www.basketball-reference.com/players/y/yelvech01.html
Rich Yonakor,1982,1982,F,6-9,220,"October 3, 1958",UNC,https://www.basketball-reference.com/players/y/yonakri01.html
Gabe York,2022,2022,G,6-3,185,"August 2, 1993",Arizona,https://www.basketball-reference.com/players/y/yorkga01.html
Danny Young,1985,1995,G,6-3,175,"July 26, 1962",Wake Forest,https://www.basketball-reference.com/players/y/youngda01.html
James Young,2015,2018,G-F,6-6,215,"August 16, 1995",Kentucky,https://www.basketball-reference.com/players/y/youngja01.html
Joe Young,2016,2018,G,6-2,180,"June 27, 1992","Houston, Oregon",https://www.basketball-reference.com/players/y/youngjo01.html
Korleone Young,1999,1999,F,6-7,213,"December 31, 1978",,https://www.basketball-reference.com/players/y/youngko01.html
Michael Young,1985,1990,F-G,6-7,220,"January 2, 1961",Houston,https://www.basketball-reference.com/players/y/youngmi01.html
Nick Young,2008,2019,G-F,6-7,210,"June 1, 1985",USC,https://www.basketball-reference.com/players/y/youngni01.html
Perry Young,1987,1987,G,6-5,210,"August 4, 1963",Virginia Tech,https://www.basketball-reference.com/players/y/youngpe01.html
Sam Young,2010,2013,F,6-6,220,"June 1, 1985",Pitt,https://www.basketball-reference.com/players/y/youngsa01.html
Thaddeus Young,2008,2023,F,6-8,235,"June 21, 1988",Georgia Tech,https://www.basketball-reference.com/players/y/youngth01.html
Tim Young,2000,2000,C,7-0,220,"February 6, 1976",Stanford,https://www.basketball-reference.com/players/y/youngti01.html
Trae Young,2019,2023,G,6-1,164,"September 19, 1998",Oklahoma,https://www.basketball-reference.com/players/y/youngtr01.html
Sun Yue,2009,2009,G,6-9,205,"November 6, 1985",,https://www.basketball-reference.com/players/y/yuesu01.html
Omer Yurtseven,2022,2023,C,7-0,264,"June 19, 1998","NC State, Georgetown",https://www.basketball-reference.com/players/y/yurtsom01.html
