Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Max Zaslofsky,1947,1956,G-F,6-2,170,"December 7, 1925",St. John's,https://www.basketball-reference.com/players/z/zasloma01.html
Zeke Zawoluk,1953,1955,F-C,6-7,215,"October 13, 1930",St. John's,https://www.basketball-reference.com/players/z/zawolze01.html
Cody Zeller,2014,2023,C-F,6-11,240,"October 5, 1992",Indiana,https://www.basketball-reference.com/players/z/zelleco01.html
Dave Zeller,1962,1962,G,6-1,175,"June 8, 1939",Miami University,https://www.basketball-reference.com/players/z/zelleda01.html
Gary Zeller,1971,1972,G,6-3,205,"November 20, 1947",Drake University,https://www.basketball-reference.com/players/z/zellega01.html
Harry Zeller,1947,1947,C-F,6-4,210,"July 10, 1919",Washington & Jefferson College,https://www.basketball-reference.com/players/z/zelleha01.html
Luke Zeller,2013,2013,C,6-11,245,"April 7, 1987",Notre Dame,https://www.basketball-reference.com/players/z/zellelu01.html
Tyler Zeller,2013,2020,F-C,7-0,253,"January 17, 1990",UNC,https://www.basketball-reference.com/players/z/zellety01.html
Tony Zeno,1980,1980,F,6-8,210,"October 1, 1957",Arizona State,https://www.basketball-reference.com/players/z/zenoto01.html
Phil Zevenbergen,1988,1988,C,6-10,230,"April 13, 1964","Seattle Pacific University, Washington",https://www.basketball-reference.com/players/z/zevenph01.html
Wang Zhizhi,2001,2005,C,7-0,255,"July 8, 1977",,https://www.basketball-reference.com/players/z/zhizhwa01.html
George Zídek,1996,1998,C,7-0,250,"August 2, 1973",UCLA,https://www.basketball-reference.com/players/z/zidekge01.html
Derrick Zimmerman,2006,2006,G,6-3,195,"December 2, 1981",Mississippi State,https://www.basketball-reference.com/players/z/zimmede01.html
Stephen Zimmerman,2017,2017,C,7-0,240,"September 9, 1996",UNLV,https://www.basketball-reference.com/players/z/zimmest01.html
Paul Zipser,2017,2018,G-F,6-8,215,"February 18, 1994",,https://www.basketball-reference.com/players/z/zipsepa01.html
Ante Žižić,2018,2020,F-C,6-10,266,"January 4, 1997",,https://www.basketball-reference.com/players/z/zizican01.html
Jim Zoet,1983,1983,C,7-1,240,"December 20, 1953",Kent State University,https://www.basketball-reference.com/players/z/zoetji01.html
Bill Zopf,1971,1971,G,6-1,170,"June 7, 1948",Duquesne,https://www.basketball-reference.com/players/z/zopfbi01.html
Ivica Zubac,2017,2023,C,7-0,240,"March 18, 1997",,https://www.basketball-reference.com/players/z/zubaciv01.html
Matt Zunic,1949,1949,G-F,6-3,195,"December 19, 1919",George Washington,https://www.basketball-reference.com/players/z/zunicma01.html
