Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Mfiondu Kabengele,2020,2023,F,6-9,250,"August 14, 1997",Florida State,https://www.basketball-reference.com/players/k/kabenmf01.html
Whitey Kachan,1949,1949,G,6-2,175,"September 15, 1925",DePaul,https://www.basketball-reference.com/players/k/kachawh01.html
George Kaftan,1949,1953,F,6-3,190,"February 22, 1928",Holy Cross,https://www.basketball-reference.com/players/k/kaftage01.html
Ed Kalafat,1955,1957,C-F,6-6,245,"October 13, 1932",Minnesota,https://www.basketball-reference.com/players/k/kalafed01.html
Georgios Kalaitzakis,2022,2022,G-F,6-8,192,"January 2, 1999",,https://www.basketball-reference.com/players/k/kalaige01.html
Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University,https://www.basketball-reference.com/players/k/kamanch01.html
Frank Kaminsky,2016,2023,F-C,7-0,240,"April 4, 1993",Wisconsin,https://www.basketball-reference.com/players/k/kaminfr01.html
Ralph Kaplowitz,1947,1948,G-F,6-2,170,"May 18, 1919",NYU,https://www.basketball-reference.com/players/k/kaplora01.html
Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981",UCLA,https://www.basketball-reference.com/players/k/kaponja01.html
Tony Kappen,1947,1947,G,5-10,165,"April 13, 1919",,https://www.basketball-reference.com/players/k/kappeto01.html
Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",,https://www.basketball-reference.com/players/k/karasse01.html
Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State,https://www.basketball-reference.com/players/k/karlco01.html
George Karl*,1974,1978,G,6-2,190,"May 12, 1951",UNC,https://www.basketball-reference.com/players/k/karlge01.html
Ed Kasid,1947,1947,G,5-11,185,"August 13, 1923",,https://www.basketball-reference.com/players/k/kasided01.html
Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",,https://www.basketball-reference.com/players/k/kasunma01.html
Leo Katkaveck,1949,1950,G,6-0,185,"April 17, 1923",NC State,https://www.basketball-reference.com/players/k/katkale01.html
Bob Kauffman,1969,1975,F-C,6-8,240,"July 13, 1946",Guilford College,https://www.basketball-reference.com/players/k/kauffbo01.html
Sasha Kaun,2016,2016,C,6-11,260,"May 8, 1985",Kansas,https://www.basketball-reference.com/players/k/kaunsa01.html
Wilbert Kautz,1947,1947,G-F,6-0,180,"September 7, 1915",Loyola Chicago,https://www.basketball-reference.com/players/k/kautzwi01.html
Clarence Kea,1981,1982,F,6-6,218,"February 2, 1959",Lamar,https://www.basketball-reference.com/players/k/keacl01.html
Mike Kearns,1955,1955,G,6-2,178,"June 18, 1929",Princeton,https://www.basketball-reference.com/players/k/kearnmi01.html
Tommy Kearns,1959,1959,G,5-11,185,"October 6, 1936",UNC,https://www.basketball-reference.com/players/k/kearnto01.html
Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970",Stanford,https://www.basketball-reference.com/players/k/keefead01.html
Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara,https://www.basketball-reference.com/players/k/keeliha01.html
Trevor Keels,2023,2023,G,6-5,221,"August 26, 2003",Duke,https://www.basketball-reference.com/players/k/keelstr01.html
Bill Keller,1970,1976,G,5-10,177,"August 30, 1947",Purdue,https://www.basketball-reference.com/players/k/kellebi01.html
Gary Keller,1968,1969,F-C,6-9,220,"June 13, 1944",Florida,https://www.basketball-reference.com/players/k/kellega01.html
Ken Keller,1947,1947,G,6-1,180,"August 16, 1922",St. John's,https://www.basketball-reference.com/players/k/kelleke01.html
Rich Kelley,1976,1986,C-F,7-0,235,"March 23, 1953",Stanford,https://www.basketball-reference.com/players/k/kelleri01.html
Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961",Ohio State,https://www.basketball-reference.com/players/k/kellocl01.html
Arvesta Kelly,1968,1972,G,6-2,175,"November 20, 1945",Lincoln University of Missouri,https://www.basketball-reference.com/players/k/kellyar01.html
Jerry Kelly,1947,1948,F,6-2,172,"June 14, 1918",,https://www.basketball-reference.com/players/k/kellyje01.html
Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke,https://www.basketball-reference.com/players/k/kellyry01.html
