Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Charles O'Bannon,1998,1999,G-F,6-5,209,"February 22, 1975",UCLA,https://www.basketball-reference.com/players/o/obannch01.html
Ed O'Bannon,1996,1997,F,6-8,222,"August 14, 1972",UCLA,https://www.basketball-reference.com/players/o/obanned01.html
John O'Boyle,1953,1953,G,6-2,185,"March 7, 1928",Colorado State,https://www.basketball-reference.com/players/o/oboyljo01.html
Bob O'Brien,1948,1949,F,6-4,190,"January 26, 1927",Pepperdine,https://www.basketball-reference.com/players/o/obriebo01.html
J.J. O'Brien,2016,2016,F,6-7,228,"April 8, 1992",San Diego State,https://www.basketball-reference.com/players/o/obriejj01.html
Jim O'Brien,1974,1975,F,6-7,200,"November 7, 1951",Maryland,https://www.basketball-reference.com/players/o/obrieji02.html
Jimmy O'Brien,1972,1975,G,6-1,170,"April 9, 1950",Boston College,https://www.basketball-reference.com/players/o/obrieji01.html
Ralph O'Brien,1952,1953,G,5-9,160,"April 8, 1928",Butler,https://www.basketball-reference.com/players/o/obriera01.html
Johnny O'Bryant,2015,2018,F-C,6-9,257,"June 1, 1993",LSU,https://www.basketball-reference.com/players/o/obryajo01.html
Patrick O'Bryant,2007,2010,C,7-0,260,"June 20, 1986",Bradley,https://www.basketball-reference.com/players/o/obryapa01.html
Dermie O'Connell,1949,1950,G,6-0,174,"April 13, 1928",Holy Cross,https://www.basketball-reference.com/players/o/oconnde01.html
Andy O'Donnell,1950,1950,G,6-1,180,"March 10, 1925",Loyola (MD),https://www.basketball-reference.com/players/o/odonnan01.html
Buddy O'Grady,1947,1949,G,5-11,160,"January 19, 1920",Georgetown,https://www.basketball-reference.com/players/o/ogradbu01.html
Fran O'Hanlon,1971,1971,G,6-1,175,"August 24, 1948",Villanova,https://www.basketball-reference.com/players/o/ohanlfr01.html
Dick O'Keefe,1948,1951,G-F,6-2,185,"September 29, 1923",Santa Clara,https://www.basketball-reference.com/players/o/okeefdi01.html
Tommy O'Keefe,1951,1951,G,6-2,185,"June 3, 1928",Georgetown,https://www.basketball-reference.com/players/o/okeefto01.html
Mike O'Koren,1981,1988,F-G,6-7,207,"February 7, 1958",UNC,https://www.basketball-reference.com/players/o/okoremi01.html
Grady O'Malley,1970,1970,F,6-5,205,"April 25, 1948",Manhattan College,https://www.basketball-reference.com/players/o/omallgr01.html
Jermaine O'Neal,1997,2014,C-F,6-11,226,"October 13, 1978",,https://www.basketball-reference.com/players/o/onealje01.html
Shaquille O'Neal*,1993,2011,C,7-1,325,"March 6, 1972",LSU,https://www.basketball-reference.com/players/o/onealsh01.html
Royce O'Neale,2018,2023,F,6-4,226,"June 5, 1993","Denver, Baylor",https://www.basketball-reference.com/players/o/onealro01.html
Mike O'Neill,1953,1953,F,6-3,210,"August 11, 1928",California,https://www.basketball-reference.com/players/o/oneilmi01.html
Kyle O'Quinn,2013,2020,F-C,6-9,250,"March 26, 1990",Norfolk State,https://www.basketball-reference.com/players/o/oquinky01.html
Kevin O'Shea,1951,1953,G,6-2,175,"July 10, 1925",Notre Dame,https://www.basketball-reference.com/players/o/osheake01.html
Garland O'Shields,1947,1947,G-F,6-1,195,"May 23, 1921",Tennessee,https://www.basketball-reference.com/players/o/oshiega01.html
Dan O'Sullivan,1991,1996,C,6-10,250,"March 3, 1968",Fordham,https://www.basketball-reference.com/players/o/osullda01.html
