Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",New Orleans,https://www.basketball-reference.com/players/e/eacklle01.html
Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",BYU,https://www.basketball-reference.com/players/e/eakinji01.html
Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",Iowa,https://www.basketball-reference.com/players/e/earlac01.html
Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola Chicago,https://www.basketball-reference.com/players/e/earleed01.html
Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State,https://www.basketball-reference.com/players/e/earlycl01.html
Penny Early,1969,1969,G,5-3,114,"May 30, 1943",,https://www.basketball-reference.com/players/e/earlype01.html
Tari Eason,2023,2023,F,6-8,216,"May 10, 2001","Cincinnati, LSU",https://www.basketball-reference.com/players/e/easonta01.html
Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957",UCLA,https://www.basketball-reference.com/players/e/eatonma01.html
Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",Louisville,https://www.basketball-reference.com/players/e/eavesje01.html
Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia,https://www.basketball-reference.com/players/e/ebankde01.html
Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",Detroit Mercy,https://www.basketball-reference.com/players/e/ebbenbi01.html
Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",Missouri,https://www.basketball-reference.com/players/e/eberhal01.html
Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",,https://www.basketball-reference.com/players/e/ebind01.html
Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",Louisiana,https://www.basketball-reference.com/players/e/ebronro01.html
Jaime Echenique,2022,2022,C,6-11,258,"April 27, 1997","Trinity Valley CC, Wichita State",https://www.basketball-reference.com/players/e/echenja01.html
Jarell Eddie,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Tech,https://www.basketball-reference.com/players/e/eddieja01.html
Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss",https://www.basketball-reference.com/players/e/eddiepa01.html
Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922",Illinois,https://www.basketball-reference.com/players/e/eddledi01.html
Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",Virginia,https://www.basketball-reference.com/players/e/edelike01.html
Charles Edge,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College,https://www.basketball-reference.com/players/e/edgech01.html
Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State,https://www.basketball-reference.com/players/e/edmonbo01.html
Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue,https://www.basketball-reference.com/players/e/edmonke01.html
Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973",UCLA,https://www.basketball-reference.com/players/e/edneyty01.html
Anthony Edwards,2021,2023,G,6-4,225,"August 5, 2001",Georgia,https://www.basketball-reference.com/players/e/edwaran01.html
Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University,https://www.basketball-reference.com/players/e/edwarbi01.html
Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University,https://www.basketball-reference.com/players/e/edwarbl01.html
Carsen Edwards,2020,2022,G,5-11,200,"March 12, 1998",Purdue,https://www.basketball-reference.com/players/e/edwarca01.html
Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University,https://www.basketball-reference.com/players/e/edwarco01.html
Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State,https://www.basketball-reference.com/players/e/edwardo01.html
Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University,https://www.basketball-reference.com/players/e/edwarfr01.html
James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",Washington,https://www.basketball-reference.com/players/e/edwarja01.html
Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana,https://www.basketball-reference.com/players/e/edwarja02.html
John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University,https://www.basketball-reference.com/players/e/edwarjo01.html
Kessler Edwards,2022,2023,F,6-8,215,"August 9, 2000",Pepperdine,https://www.basketball-reference.com/players/e/edwarke02.html
Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul,https://www.basketball-reference.com/players/e/edwarke01.html
Rob Edwards,2022,2022,G,6-5,205,"January 20, 1997","Cleveland State University, Arizona State",https://www.basketball-reference.com/players/e/edwarro01.html
Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",Little Rock,https://www.basketball-reference.com/players/e/edwarsh01.html
Vince Edwards,2019,2019,F,6-8,225,"April 5, 1996",Purdue,https://www.basketball-reference.com/players/e/edwarvi01.html
Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939",Providence,https://www.basketball-reference.com/players/e/eganjo01.html
Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State,https://www.basketball-reference.com/players/e/egglelo01.html
Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue,https://www.basketball-reference.com/players/e/ehlerbu01.html
Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961","Odessa College, Washington State",https://www.basketball-reference.com/players/e/ehlocr01.html
Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933",SE Missouri State,https://www.basketball-reference.com/players/e/eichhdi01.html
Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College,https://www.basketball-reference.com/players/e/eisleho01.html
Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",Maryland,https://www.basketball-reference.com/players/e/ekeziob01.html
Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",UConn,https://www.basketball-reference.com/players/e/elamikh01.html
Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University,https://www.basketball-reference.com/players/e/eliasdo01.html
Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College,https://www.basketball-reference.com/players/e/eliema01.html
CJ Elleby,2021,2022,F,6-6,200,"June 16, 2000",Washington State,https://www.basketball-reference.com/players/e/ellebcj01.html
Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University,https://www.basketball-reference.com/players/e/ellefra01.html
Henry Ellenson,2017,2021,F,6-10,240,"January 13, 1997",Marquette,https://www.basketball-reference.com/players/e/ellenhe01.html
Wayne Ellington,2010,2022,G,6-4,207,"November 29, 1987",UNC,https://www.basketball-reference.com/players/e/ellinwa01.html
Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955",Arizona,https://www.basketball-reference.com/players/e/elliobo01.html
Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",Arizona,https://www.basketball-reference.com/players/e/elliose01.html
Bo Ellis,1978,1980,F,6-9,197,"August 8, 1954",Marquette,https://www.basketball-reference.com/players/e/ellisbo02.html
Boo Ellis,1959,1960,F,6-5,185,"February 11, 1936",Niagara University,https://www.basketball-reference.com/players/e/ellisbo01.html
Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",Tennessee,https://www.basketball-reference.com/players/e/ellisda01.html
Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College,https://www.basketball-reference.com/players/e/ellisha01.html
Joe Ellis,1967,1974,F-G,6-6,175,"May 3, 1944",San Francisco,https://www.basketball-reference.com/players/e/ellisjo01.html
Keon Ellis,2023,2023,G,6-6,175,"January 8, 2000","Florida SouthWestern State College, Alabama",https://www.basketball-reference.com/players/e/elliske01.html
LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",Notre Dame,https://www.basketball-reference.com/players/e/ellisla01.html
LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969","Kentucky, Syracuse",https://www.basketball-reference.com/players/e/ellisle02.html
Leroy Ellis,1963,1976,C-F,6-10,210,"March 10, 1940",St. John's,https://www.basketball-reference.com/players/e/ellisle01.html
Monta Ellis,2006,2017,G,6-3,185,"October 26, 1985",,https://www.basketball-reference.com/players/e/ellismo01.html
Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",Louisville,https://www.basketball-reference.com/players/e/ellispe01.html
Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952",Maryland,https://www.basketball-reference.com/players/e/elmorle01.html
Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",California,https://www.basketball-reference.com/players/e/elsonfr01.html
Darrell Elston,1975,1977,G,6-4,190,"August 15, 1952",UNC,https://www.basketball-reference.com/players/e/elstoda01.html
Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978",Fresno State,https://www.basketball-reference.com/players/e/elyme01.html
Joel Embiid,2017,2023,C,7-0,280,"March 16, 1994",Kansas,https://www.basketball-reference.com/players/e/embiijo01.html
Wayne Embry*,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University,https://www.basketball-reference.com/players/e/embrywa01.html
Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech,https://www.basketball-reference.com/players/e/emmetan01.html
Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron,https://www.basketball-reference.com/players/e/endrene01.html
Wayne Engelstad,1989,1989,F,6-8,245,"December 6, 1965","University of California, Irvine",https://www.basketball-reference.com/players/e/englewa01.html
Chris Engler,1983,1988,C,6-11,245,"March 1, 1959","Minnesota, Wyoming",https://www.basketball-reference.com/players/e/englech01.html
A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University,https://www.basketball-reference.com/players/e/engliaj01.html
Alex English*,1977,1991,F,6-8,190,"January 5, 1954",South Carolina,https://www.basketball-reference.com/players/e/englial01.html
Claude English,1971,1971,F,6-4,185,"December 26, 1946",Rhode Island,https://www.basketball-reference.com/players/e/englicl01.html
Jo Jo English,1993,1995,G,6-4,195,"February 4, 1970",South Carolina,https://www.basketball-reference.com/players/e/englijo01.html
Kim English,2013,2013,G,6-6,200,"September 24, 1988",Missouri,https://www.basketball-reference.com/players/e/engliki01.html
Scott English,1973,1975,F,6-6,205,"October 20, 1950",Texas-El Paso,https://www.basketball-reference.com/players/e/englisc01.html
Gene Englund,1950,1950,F-C,6-5,205,"October 21, 1917",Wisconsin,https://www.basketball-reference.com/players/e/engluge01.html
James Ennis III,2015,2022,F,6-6,215,"July 1, 1990",Cal State Long Beach,https://www.basketball-reference.com/players/e/ennisja01.html
Tyler Ennis,2015,2018,G,6-3,194,"August 24, 1994",Syracuse,https://www.basketball-reference.com/players/e/ennisty01.html
Ray Epps,1979,1979,F,6-6,195,"August 20, 1956",Norfolk State,https://www.basketball-reference.com/players/e/eppsra01.html
