Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Marc Iavaroni,1983,1989,F,6-8,210,"September 15, 1956",Virginia,https://www.basketball-reference.com/players/i/iavarma01.html
Serge Ibaka,2010,2023,F-C,6-10,235,"September 18, 1989",,https://www.basketball-reference.com/players/i/ibakase01.html
Andre Iguodala,2005,2023,F-G,6-6,215,"January 28, 1984",Arizona,https://www.basketball-reference.com/players/i/iguodan01.html
Zydrunas Ilgauskas,1998,2011,C,7-3,238,"June 5, 1975",,https://www.basketball-reference.com/players/i/ilgauzy01.html
Mile Ilić,2007,2007,C,7-1,230,"June 2, 1984",,https://www.basketball-reference.com/players/i/ilicmi01.html
D.J. Mbenga,2005,2011,C,7-0,245,"December 30, 1980",,https://www.basketball-reference.com/players/m/mbengdj01.html
Ersan İlyasova,2007,2021,F,6-9,235,"May 15, 1987",,https://www.basketball-reference.com/players/i/ilyaser01.html
Darrall Imhoff,1961,1972,C,6-10,220,"October 11, 1938",California,https://www.basketball-reference.com/players/i/imhofda01.html
Tom Ingelsby,1974,1976,G,6-3,180,"February 12, 1951",Villanova,https://www.basketball-reference.com/players/i/ingelto01.html
Joe Ingles,2015,2023,F-G,6-8,220,"October 2, 1987",,https://www.basketball-reference.com/players/i/inglejo01.html
Damien Inglis,2016,2016,F,6-8,246,"May 20, 1995",,https://www.basketball-reference.com/players/i/inglida01.html
Andre Ingram,2018,2019,G,6-3,190,"November 19, 1985",American University,https://www.basketball-reference.com/players/i/ingraan01.html
Brandon Ingram,2017,2023,F,6-8,190,"September 2, 1997",Duke,https://www.basketball-reference.com/players/i/ingrabr01.html
McCoy Ingram,1958,1958,F,6-8,210,"August 31, 1931",Jackson State University,https://www.basketball-reference.com/players/i/ingramc01.html
Ervin Inniger,1968,1969,G,6-4,190,"January 16, 1945",Indiana,https://www.basketball-reference.com/players/i/inniger01.html
Byron Irvin,1990,1993,G,6-5,190,"December 2, 1966","Arkansas, Missouri",https://www.basketball-reference.com/players/i/irvinby01.html
George Irvine,1971,1976,F-G,6-6,200,"February 1, 1948",Washington,https://www.basketball-reference.com/players/i/irvinge01.html
Kyrie Irving,2012,2023,G,6-2,195,"March 23, 1992",Duke,https://www.basketball-reference.com/players/i/irvinky01.html
Jonathan Isaac,2018,2023,F,6-11,230,"October 3, 1997",Florida State,https://www.basketball-reference.com/players/i/isaacjo01.html
Dan Issel*,1971,1985,C-F,6-9,235,"October 25, 1948",Kentucky,https://www.basketball-reference.com/players/i/isselda01.html
Mike Iuzzolino,1992,1993,G,5-10,175,"January 22, 1968","Penn State, Saint Francis University",https://www.basketball-reference.com/players/i/iuzzomi01.html
Allen Iverson*,1997,2010,G,6-0,165,"June 7, 1975",Georgetown,https://www.basketball-reference.com/players/i/iversal01.html
Willie Iverson,1969,1969,G,6-0,180,"October 8, 1945",Central Michigan University,https://www.basketball-reference.com/players/i/iverswi01.html
Jaden Ivey,2023,2023,G,6-4,195,"February 13, 2002",Purdue,https://www.basketball-reference.com/players/i/iveyja01.html
Royal Ivey,2005,2014,G,6-3,200,"December 20, 1981",Texas,https://www.basketball-reference.com/players/i/iveyro01.html
Elvin Ivory,1969,1969,F,6-8,210,"July 2, 1948",Louisiana,https://www.basketball-reference.com/players/i/ivoryel01.html
Wes Iwundu,2018,2022,F,6-6,195,"December 20, 1994",Kansas State,https://www.basketball-reference.com/players/i/iwundwe01.html
