Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke,https://www.basketball-reference.com/players/a/abdelal01.html
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State,https://www.basketball-reference.com/players/a/abdulza01.html
Kareem Abdul-Jabbar*,1970,1989,C,7-2,225,"April 16, 1947",UCLA,https://www.basketball-reference.com/players/a/abdulka01.html
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",LSU,https://www.basketball-reference.com/players/a/abdulma02.html
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State",https://www.basketball-reference.com/players/a/abdulta01.html
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",California,https://www.basketball-reference.com/players/a/abdursh01.html
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana,https://www.basketball-reference.com/players/a/abernto01.html
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky,https://www.basketball-reference.com/players/a/ablefo01.html
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem University,https://www.basketball-reference.com/players/a/abramjo01.html
Álex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",,https://www.basketball-reference.com/players/a/abrinal01.html
Precious Achiuwa,2021,2023,F,6-8,225,"September 19, 1999",Memphis,https://www.basketball-reference.com/players/a/achiupr01.html
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine,https://www.basketball-reference.com/players/a/ackeral01.html
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,https://www.basketball-reference.com/players/a/ackerdo01.html
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts,https://www.basketball-reference.com/players/a/acresma01.html
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,https://www.basketball-reference.com/players/a/actonbu01.html
Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor,https://www.basketball-reference.com/players/a/acyqu01.html
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma,https://www.basketball-reference.com/players/a/adamsal01.html
Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern,https://www.basketball-reference.com/players/a/adamsdo01.html
George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,https://www.basketball-reference.com/players/a/adamsge01.html
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",Arizona,https://www.basketball-reference.com/players/a/adamsha01.html
Jaylen Adams,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure,https://www.basketball-reference.com/players/a/adamsja01.html
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",UCLA,https://www.basketball-reference.com/players/a/adamsjo01.html
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,https://www.basketball-reference.com/players/a/adamsmi01.html
Steven Adams,2014,2023,C,6-11,265,"July 20, 1993",Pitt,https://www.basketball-reference.com/players/a/adamsst01.html
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse,https://www.basketball-reference.com/players/a/addisra01.html
Bam Adebayo,2018,2023,C-F,6-9,255,"July 18, 1997",Kentucky,https://www.basketball-reference.com/players/a/adebaba01.html
Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",Louisville,https://www.basketball-reference.com/players/a/adelde01.html
Rick Adelman*,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount,https://www.basketball-reference.com/players/a/adelmri01.html
Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",UConn,https://www.basketball-reference.com/players/a/adrieje01.html
Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA,https://www.basketball-reference.com/players/a/afflaar01.html
Ochai Agbaji,2023,2023,G,6-5,215,"April 20, 2000",Kansas,https://www.basketball-reference.com/players/a/agbajoc01.html
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State,https://www.basketball-reference.com/players/a/agerma01.html
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul,https://www.basketball-reference.com/players/a/aguirma01.html
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State,https://www.basketball-reference.com/players/a/ahearbl01.html
Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",BYU,https://www.basketball-reference.com/players/a/aingeda01.html
Matt Aitch,1968,1968,F,6-7,230,"September 21, 1944","Moberly Area Community College, Michigan State",https://www.basketball-reference.com/players/a/aitchma01.html
Alexis Ajinça,2009,2017,C-F,7-2,248,"May 6, 1988",,https://www.basketball-reference.com/players/a/ajincal01.html
Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,https://www.basketball-reference.com/players/a/akinhe01.html
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton",https://www.basketball-reference.com/players/a/akognjo01.html
DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State,https://www.basketball-reference.com/players/a/akoonde01.html
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State,https://www.basketball-reference.com/players/a/alabiso01.html
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke,https://www.basketball-reference.com/players/a/alarima01.html
Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936",Fresno State,https://www.basketball-reference.com/players/a/alcorga01.html
Santi Aldama,2022,2023,F,6-11,224,"January 10, 2001",Loyola (MD),https://www.basketball-reference.com/players/a/aldamsa01.html
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,https://www.basketball-reference.com/players/a/aldemfu01.html
Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",Kansas,https://www.basketball-reference.com/players/a/aldrico01.html
LaMarcus Aldridge,2007,2022,F-C,6-11,250,"July 19, 1985",Texas,https://www.basketball-reference.com/players/a/aldrila01.html
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn",https://www.basketball-reference.com/players/a/aleksch01.html
Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",Kansas,https://www.basketball-reference.com/players/a/alexacl01.html
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",Virginia,https://www.basketball-reference.com/players/a/alexaco01.html
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State",https://www.basketball-reference.com/players/a/alexaco02.html
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",South Florida,https://www.basketball-reference.com/players/a/alexaga01.html
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia,https://www.basketball-reference.com/players/a/alexajo01.html
Kyle Alexander,2020,2020,F,6-11,220,"October 21, 1996",Tennessee,https://www.basketball-reference.com/players/a/alexaky01.html
Ty-Shon Alexander,2021,2021,G,6-3,195,"July 16, 1998",Creighton,https://www.basketball-reference.com/players/a/alexaty01.html
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State,https://www.basketball-reference.com/players/a/alexavi01.html
Nickeil Alexander-Walker,2020,2023,G,6-6,205,"September 2, 1998",Virginia Tech,https://www.basketball-reference.com/players/a/alexani01.html
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana,https://www.basketball-reference.com/players/a/alforst01.html
Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",Arizona,https://www.basketball-reference.com/players/a/alkinra01.html
Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State,https://www.basketball-reference.com/players/a/allenbi01.html
Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall,https://www.basketball-reference.com/players/a/allenbo01.html
Grayson Allen,2019,2023,G,6-4,198,"October 8, 1995",Duke,https://www.basketball-reference.com/players/a/allengr01.html
Jarrett Allen,2018,2023,C-F,6-11,243,"April 21, 1998",Texas,https://www.basketball-reference.com/players/a/allenja01.html
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",Penn,https://www.basketball-reference.com/players/a/allenje01.html
Kadeem Allen,2018,2020,G,6-1,200,"January 15, 1993",Arizona,https://www.basketball-reference.com/players/a/allenka01.html
Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple,https://www.basketball-reference.com/players/a/allenla01.html
Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947",UCLA,https://www.basketball-reference.com/players/a/allenlu01.html
Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova,https://www.basketball-reference.com/players/a/allenma01.html
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State,https://www.basketball-reference.com/players/a/allenra01.html
Ray Allen*,1997,2014,G,6-5,205,"July 20, 1975",UConn,https://www.basketball-reference.com/players/a/allenra02.html
Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State",https://www.basketball-reference.com/players/a/allento01.html
